V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T,KAZ_HFCE,KAZ_NPISH,KAZ_GGFC,KAZ_GFCF,KAZ_INVNT,KAZ_DPABR
KAZ_A01_02,11132.8532,2.3181,12.6584,17.2683,1.4811,6966.4164,320.1361,49.1203,10.5738,1.9161,71.7015,108.1626,1.3943,46.1405,10.8557,0.1043,0.0929,0.0549,0.0621,0.2295,0.5729,1.206,11.4959,7.5956,13.5708,256.8108,24.5296,0.9271,1.1257,723.1974,0.4358,1047.6655,3.7808,0.7975,2.6537,236.3144,582.4433,167.7824,86.3237,186.962,253.0388,423.9966,289.8821,2.7345,0.0,4981.6388,0.0,129.4533,451.64,782.3549,0.0
KAZ_A03,14.7136,0.006,0.0056,0.0004,0.0003,2.914,0.0009,0.0013,0.0004,0.178,0.0002,0.0002,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.0002,0.6457,0.2104,0.0036,0.1274,0.0022,0.0036,0.0691,0.0,4.7629,0.0002,0.0,0.0001,0.0003,0.0013,4.1451,6.8212,65.4439,12.8303,28.257,4.2149,0.0002,0.0,679.0477,0.0,0.0206,0.0004,63.8553,0.0
KAZ_B05_06,26.5605,3.6671,12450.7034,83.0651,77.9775,65.6077,0.5802,0.2504,32.5879,6394.5909,589.3191,12.8358,135.4636,210.0713,20.1281,0.0254,0.0949,9.5832,0.0032,0.7139,0.0511,78.1178,2454.2576,13.2928,26.5992,459.4619,4097.3524,0.1798,0.3926,16.3594,14.3733,1.1983,0.3778,2.1984,0.14,0.5301,31.3634,44.1653,23.6906,139.89,159.7604,25.2505,53.3705,1.6304,0.0,190.9012,0.0,0.0004,1.4097,3116.0217,0.0
KAZ_B07_08,2.1748,0.4391,204.5179,539.0942,2.3043,0.9649,0.0475,0.5654,0.0289,15.2349,834.9067,0.0827,0.3673,155.2015,10753.4355,1.0547,0.0652,0.0831,0.0949,0.0597,0.1409,34.4039,3.24,1.5776,312.7336,8.2203,10.506,0.043,6.7757,2.3473,0.3022,0.4328,0.1348,0.7992,0.1337,0.6629,35.7539,135.2384,10.0176,4.5355,10.1393,3.7265,0.717,9.7199,0.0,5.8702,0.0,0.0672,52.4065,106.6293,0.0
KAZ_B09,0.9195,0.0049,1912.7096,712.0913,84.4412,0.2398,0.0021,0.0061,0.0223,0.0354,0.3052,0.0439,0.0286,9.2905,0.1688,0.0298,0.0046,0.0034,1.4231,0.0045,0.0073,0.0802,1.1017,0.8997,8.8335,25.9345,3.6558,0.3572,0.2594,2.514,0.0014,0.0502,0.1712,0.1702,0.1586,1.2278,1.3734,170.0764,2.7364,0.3431,0.8645,0.2768,0.9511,0.3665,0.0,0.7748,0.0,0.0045,3.6427,0.0255,0.0
KAZ_C10T12,2325.8841,41.8801,44.7184,15.6305,50.328,1631.3954,2.7331,1.027,16.6507,2.1443,4.8805,31.6386,0.5387,2.8925,17.8307,0.5994,0.0354,0.2791,0.3004,0.6961,0.1834,2.5574,6.3999,2.1146,19.4133,1919.7696,19.2882,0.097,9.3135,38.2574,6.3918,1145.2736,58.1552,1.6915,30.3515,6.9844,57.1806,204.9767,90.9042,261.8005,518.5944,1014.4673,225.482,250.966,0.0,6339.501,0.0,0.1164,6.1223,827.2173,0.0
KAZ_C13T15,3.5352,19.7218,13.7824,3.3909,1.2105,6.0568,69.092,0.0211,1.0226,0.1132,3.0068,0.9201,5.85,1.3309,0.3074,0.0534,0.0024,0.0459,0.7645,0.011,0.1642,6.1266,0.9979,0.6729,8.4464,33.1485,11.7268,0.4222,4.5614,8.7126,6.2662,6.9794,1.4014,0.6457,0.9051,2.9223,1.8808,54.8965,29.775,32.0735,42.1279,191.3744,77.4687,26.6869,0.0,150.7622,0.0,0.145,10.3037,14.568,0.0
KAZ_C16,1.7546,0.2211,0.7342,0.0628,13.5751,0.5519,0.03,0.4032,0.0096,0.0003,0.007,0.0255,0.2538,0.4046,0.098,0.0642,0.0001,0.004,0.0029,0.0774,1.843,16.327,0.2769,0.7891,7.6236,25.7732,2.0328,0.0009,2.6174,1.8264,0.3528,1.4477,0.0077,0.3178,0.0046,0.1965,38.8656,11.1029,0.5759,0.6637,1.3933,0.2995,2.6705,3.933,0.0,0.4207,0.0,0.0147,0.2381,0.6861,0.0
KAZ_C17_18,1.9387,1.1735,2.8202,0.4338,0.3242,22.8299,0.0668,1.3669,19.2185,0.0178,0.6053,3.3199,0.0432,0.4245,0.5517,0.0045,0.0424,0.0067,0.0031,0.2703,0.0042,0.0732,2.1968,0.026,51.4466,300.8768,7.372,0.1062,0.5158,12.3828,23.2534,27.1048,52.3407,4.8702,27.8207,15.8003,25.8616,68.8985,21.2534,44.8492,19.9531,35.0489,28.1283,4.3582,0.0,14.1599,0.0,0.0827,0.0449,5.4763,0.0
KAZ_C19,184.0741,187.9333,290.5365,353.6879,4.9402,18.8262,1.0536,10.685,0.0785,0.6005,4.5484,2.927,0.0155,67.8155,1055.3952,0.0119,0.0674,0.0398,0.0113,0.0328,0.0108,39.1343,129.6808,3.6597,42.9031,841.0478,3364.0262,4.4026,231.5528,77.3945,1.9146,1.0273,8.5789,2.8726,9.3822,45.7331,493.0711,50.1386,38.0924,395.8568,68.8736,199.501,29.6834,125.4811,0.0,154.4518,0.0,0.0124,0.0285,130.791,0.0
