V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T,KHM_HFCE,KHM_NPISH,KHM_GGFC,KHM_GFCF,KHM_INVNT,KHM_DPABR
KHM_A01_02,299.0402,0.0192,0,0.8089,0.241,402.0312,0.9244,14.0117,3.2412,0.002,6.751,1.3273,6.1421,0.4557,0.0283,0.0522,0.0,0.0,0.0,0.0269,0.0375,1.129,19.2764,11.7034,33.5239,86.0287,5.0027,3.3322,1.4867,1.8681,0.3792,318.6974,2.4343,1.2686,0.0657,0.1431,4.1954,0.5302,0.8288,10.0393,2.5876,16.7961,5.0304,8.5348,0,2815.2946,4.2757,0.0,26.3517,7.5358,0.0
KHM_A03,164.3732,178.4878,0,0.3096,0.0794,155.3725,0.4262,5.2487,0.909,0.0,2.2015,0.7224,2.3305,0.1707,0.0112,0.0186,0.0,0.0,0.0,0.0085,0.0209,0.1744,7.0665,3.6366,0.0051,32.1169,1.2943,1.4838,0.9389,0.5058,0.1641,119.4339,2.0235,0.4626,0.033,0.0534,0.0059,0.0897,0.4164,0.0096,1.4339,7.147,2.0605,3.2788,0,1401.8228,2.129,0.0,0.0,4.1898,0.0
KHM_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
KHM_B07_08,3.275,0.0174,0,0.2323,0.0289,1.7762,0.2485,0.0153,0.2598,0.7461,0.0875,0.005,0.1361,10.1513,13.3308,6.963,0.0001,0.0002,0.0021,0.0017,0.0029,0.0502,16.2452,6.7077,9.6616,0.4283,0.5045,0.0689,0.212,0.1516,0.3491,2.9005,1.073,1.0519,0.1795,0.2501,11.9859,1.3596,0.7815,2.341,0.3118,0.1646,0.7902,2.291,0,111.5125,0.0,0.0,0.0,0.6347,0.0
KHM_B09,2.7099,0.0144,0,0.1917,0.1272,0.936,0.0626,0.0222,0.1055,0.236,0.0307,0.0006,0.0796,1.1495,3.5324,3.2033,0.0,0.0,0.0012,0.0007,0.0014,0.0722,13.164,1.9972,1.9104,0.1829,0.2437,0.0243,0.0326,0.0648,0.4698,0.7343,1.0707,0.0,0.032,0.2017,10.3153,0.845,0.1622,2.1371,0.2689,0.2355,0.3682,1.0254,0,0.0,0.0,0.0,0.0,0.0,0.0
KHM_C10T12,15.7674,0.1407,0,0.0785,0.0102,272.5471,1.2138,0.0398,2.8861,0.0005,0.1209,0.0166,0.2182,0.117,1.4914,2.6015,0.0001,0.0001,0.0131,0.1253,0.2345,1.1554,2.2716,1.6206,18.6442,36.2113,3.7159,2.6358,2.6054,1.2092,0.5974,110.9596,1.4804,1.6545,0.2258,0.1395,5.2641,0.6214,0.5406,2.9884,0.7057,0.4109,0.8454,1.47,0,1274.003,3.1944,0.0559,13.9364,3.8763,0.0
KHM_C13T15,13.8628,0.1219,0,0.0051,0.0011,34.0984,1372.9476,0.0303,37.2517,0.015,0.2319,0.039,38.6788,0.1011,1.9757,4.5104,0.0,0.0001,0.0137,0.1223,0.174,5.6414,1.8722,1.9808,38.8306,35.0867,10.0831,3.1203,4.8512,3.3813,0.7656,38.4201,6.4739,1.5762,12.8808,0.0002,0.0075,27.0057,18.5984,25.2538,5.5148,0.1012,0.4686,2.0222,0,271.1041,0.0009,0.0,0.9509,1.9731,0.0
KHM_C16,11.9354,0.0565,0,0.0261,0.0029,0.4395,0.8918,8.3198,0.0011,0.0102,0.0002,0.0,0.001,0.0007,0.0104,0.0343,0.0,0.0,0.0001,0.0966,0.1086,0.58,0.6909,0.1945,2.0035,3.9044,0.0266,0.0078,0.0048,0.0166,0.0,1.8676,0.0209,0.0,1.6193,0.0,0.0,4.6159,1.9052,0.0031,0.0,0.0007,0.0285,0.1021,0,26.4079,0.0,0.0,0.0796,0.3551,0.0
KHM_C17_18,0.01,0.0,0,0.0055,0.0008,0.4725,1.0796,0.0209,8.172,0.0126,0.1047,0.0229,0.0494,0.0245,0.4128,1.1817,0.0001,0.0002,0.011,0.0303,0.0381,0.9482,0.2852,0.2518,2.5839,1.6737,0.5704,0.0963,0.1855,0.3332,0.0985,3.597,3.0684,0.2455,0.0271,0.0284,0.0083,0.0751,0.1398,2.7002,0.733,0.0202,0.0413,0.0894,0,26.0767,0.001,0.0,0.8289,-1.1137,0.0
KHM_C19,20.0188,0.1071,0,1.7359,0.1898,6.2794,0.0745,0.5177,0.0001,1.224,0.0352,0.0016,0.2112,0.4535,0.305,0.4809,0.0004,0.0018,0.0,0.1344,0.1966,0.5207,11.3463,2.3779,0.9598,10.4278,18.3692,4.3047,7.5681,1.2554,0.0777,0.9156,0.3658,0.1232,0.0854,0.1662,0.4181,0.2172,0.4409,2.4588,0.1741,0.1186,0.3678,0.7047,0,62.6776,0.0,0.0,0.039,0.0471,0.0
KHM_C20,51.9814,0.0563,0,0.8136,0.1358,0.9259,0.6452,0.2171,0.0438,0.4729,4.3538,0.2645,11.0573,0.7785,0.1704,0.2952,0.0,0.0001,0.0056,0.0364,0.0361,0.3479,0.1487,0.5093,0.2354,3.4982,0.0361,0.0074,0.0111,0.0148,0.0364,0.0723,0.0872,0.0983,0.0362,0.2327,2.9502,0.2817,0.0983,0.1056,0.1666,5.4136,0.065,0.314,0,35.3205,0.0,0.0001,0.004,0.5788,0.0
KHM_C21,7.0065,0.023,0,0.0393,0.0039,0.1345,0.0349,0.0132,0.0012,0.0481,0.2675,0.7927,0.3129,0.0304,0.0105,0.0154,0.0,0.0,0.0004,0.0014,0.0024,0.018,0.0073,0.0288,0.0124,0.3681,0.0029,0.002,0.0015,0.0015,0.007,0.0075,0.0057,0.017,0.0056,0.0358,0.1691,0.276,0.0059,0.0434,0.0418,9.4145,0.017,0.0393,0,28.5927,0.0,0.0006,0.0018,0.2525,0.0
KHM_C22,3.3693,0.0129,0,0.0296,0.0063,52.6346,5.5665,0.4329,4.3545,0.0597,0.8329,0.1384,11.4177,1.7071,3.5649,11.1837,0.0005,0.0017,0.093,2.1023,2.011,2.8591,1.2554,1.8363,26.1133,54.962,15.9424,1.183,1.3931,2.8044,0.0053,7.2531,1.2377,0.0127,0.1005,0.0029,0.0033,0.307,0.5898,3.8881,0.0073,0.1518,0.1863,0.5295,0,129.2513,0.0,0.0,13.6083,0.2068,0.0
KHM_C23,0.0575,0.0002,0,0.3622,0.075,15.9378,0.0006,0.0098,0.0002,0.0168,1.447,0.2822,1.9272,1.5297,0.1104,0.2281,0.0001,0.0002,0.0022,0.4076,0.3605,0.6346,1.7351,0.9193,17.3227,4.031,0.7328,0.2002,0.2558,0.3219,0.0002,0.2903,0.0609,0.0012,0.0474,0.0,0.4236,0.1665,0.1396,0.1114,0.0292,0.0045,0.08,0.2561,0,43.4032,0.0,0.0,0.0143,0.0957,0.0
