V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T,LTU_HFCE,LTU_NPISH,LTU_GGFC,LTU_GFCF,LTU_INVNT,LTU_DPABR
LTU_A01_02,346.5198,1.5746,0.482,0.3173,0.026,674.664,55.4142,141.6404,16.5904,13.9124,127.6704,0.4614,2.298,1.6519,0.1286,2.5123,1.3974,1.0624,1.636,0.4501,0.3036,13.9437,20.5026,0.8185,10.2843,73.6063,10.7269,0.2745,0.5925,2.8951,0.0902,2.426,0.6447,0.5578,1.8433,0.6496,7.5838,2.7089,3.1884,2.7505,1.578,4.9173,1.0394,2.1904,0.0,1329.5623,0.0003,3.8876,58.478,-3.4922,0.0
LTU_A03,0.0743,2.3901,0.0006,0.0005,0.0001,58.1905,0.0754,0.005,0.0057,0.0155,0.0465,0.0003,0.0042,0.0041,0.0003,0.0025,0.0008,0.0015,0.0013,0.0006,0.0002,0.0085,0.0584,0.0693,0.0095,4.8181,0.0063,0.0001,0.039,0.0105,0.0002,1.3398,0.0213,0.0014,0.0014,0.0034,0.0174,0.1023,0.0867,0.2096,0.0075,2.6349,0.0734,0.011,0.0,53.6191,0.0248,0.0776,0.0245,0.0246,0.0
LTU_B05_06,2.2874,0.0502,0.3592,0.3432,0.0069,2.31,0.377,0.759,0.4216,125.3849,5.4842,0.0175,0.3019,1.7683,0.019,0.3682,0.1882,0.1447,0.2262,0.0697,0.0438,1.4062,3.5486,0.0981,3.0741,1.3101,1.2738,0.0314,0.0555,0.4029,0.0093,0.2342,0.0607,0.058,0.1845,0.058,0.9339,0.1922,0.4977,0.7779,0.0777,0.3626,0.0714,0.0741,0.0,10.2437,0.0,0.4598,1.5179,-0.0325,0.0
LTU_B07_08,2.4939,0.0068,0.0,0.0,0.3013,0.0,0.0795,0.0,0.0,55.0856,0.0,0.0,0.0,0.0,0.0,0.3832,0.0,0.0,0.1764,0.0799,0.0,0.0,0.0,0.0098,69.1775,0.0,3.7437,0.0,0.8362,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.1989,0.0013,0.0,0.4244,0.0417,0.0,0.0,0.3528,0.0,1.7617,0.0,0.0,0.0,-0.0439,0.0
LTU_B09,0.0699,0.0158,2.0141,0.5351,0.2074,0.0236,0.0013,0.0049,0.0462,31.7596,0.5403,0.0012,0.0141,0.3217,0.0182,0.0617,0.0001,0.0015,0.0029,0.0001,0.0002,0.0047,0.2731,0.0187,0.8753,0.0092,0.3462,0.0035,0.0075,0.1055,0.0002,0.0016,0.0006,0.0,0.0,0.0008,0.0333,0.0324,0.0248,0.0115,0.0022,0.0023,0.0021,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU_C10T12,238.6511,2.6208,0.0316,0.0327,0.0056,626.1003,1.7385,0.0219,0.2961,0.0688,60.0377,1.0608,0.0476,0.0297,0.2898,0.0148,0.015,0.0194,1.0666,0.3557,0.0105,0.6834,2.6042,0.9247,0.1106,30.4785,3.0005,0.9405,2.0745,0.0299,0.0091,122.6312,0.6907,0.051,0.6138,1.7336,0.278,1.6505,2.5158,1.1303,2.1865,25.6978,4.9624,0.404,0.0,2839.4836,0.0,16.0277,0.0,-1.5848,0.0
LTU_C13T15,15.231,0.2157,0.6025,0.1433,0.0609,8.503,77.537,2.309,1.89,8.6782,3.5574,0.0793,1.5381,0.9428,0.0823,3.4608,0.7878,1.2148,2.8159,1.2113,3.2722,14.9157,12.7271,1.0251,8.2583,29.9036,8.2161,0.4335,5.7581,8.602,0.1696,1.2365,0.41,0.6549,1.0755,0.7097,2.9743,7.0458,8.6226,9.7961,1.1522,5.5147,1.135,1.6078,0.0,600.3642,0.0001,1.6093,6.6821,-4.1414,0.0
LTU_C16,20.4903,0.1972,6.1862,0.8141,0.0083,4.6955,1.7926,125.8524,8.3725,39.6416,1.0393,0.0063,1.4163,3.2317,0.0175,1.2985,0.0992,0.5898,0.3625,0.5227,0.3369,266.7556,11.5607,0.788,14.5432,3.4445,1.0074,0.1248,0.4631,0.8457,0.1832,0.4287,2.6178,0.0856,0.1333,0.1743,1.397,9.691,1.9097,1.0013,0.3537,1.3585,0.1671,1.8212,0.0,83.6037,0.3918,0.169,1.5459,-2.9032,0.0
LTU_C17_18,4.3634,0.4631,0.0402,0.0544,0.0137,28.8207,15.43,9.3405,78.6018,61.5156,3.6823,0.5751,2.2062,1.6836,0.2241,2.4973,0.4849,1.4779,5.2459,0.078,0.1938,15.442,3.5177,4.4928,2.4329,26.8327,3.5105,0.3512,2.4659,0.7042,4.4632,0.8248,27.6976,0.9795,74.0171,12.9769,8.7785,25.5831,6.4147,75.9406,31.4523,5.8454,7.8495,0.9641,0.0,94.0062,0.0,0.4201,2.245,-0.133,0.0
LTU_C19,171.0887,12.7331,5.4343,8.1819,0.886,23.0947,13.8551,9.4553,14.4522,276.8084,10.5063,0.0837,10.9943,10.925,2.1568,6.5306,0.3558,2.6741,8.0822,0.1773,1.7873,18.5504,92.1269,26.8751,55.4654,132.2392,670.4052,19.289,26.8144,29.5251,3.3895,5.6057,8.5445,4.3877,8.3117,15.6221,23.1664,24.2325,67.5904,60.5388,5.0284,21.3807,10.0775,9.3614,0.0,1857.288,0.0304,0.2493,26.3615,-31.8317,0.0
LTU_C20,56.4663,0.2051,1.6414,2.0267,0.1703,18.8636,22.1533,27.863,31.3341,25.6101,380.3071,3.0167,144.873,13.893,0.2171,13.2922,1.6226,2.7391,3.3888,3.3253,4.8441,50.38,9.9734,4.4531,29.0633,58.1097,126.9034,1.4245,1.3954,6.7244,0.0693,3.0669,1.652,0.4579,1.0129,1.2956,13.92,6.9752,4.4921,5.0346,5.332,10.2087,1.1961,5.1258,0.0,317.1433,1.5746,3.8992,54.7436,-74.4881,0.0
