V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T,MAR_HFCE,MAR_NPISH,MAR_GGFC,MAR_GFCF,MAR_INVNT,MAR_DPABR
MAR_A01_02,2491.5612,0.9841,0.1336,6.7097,0.0014,7766.7128,35.3821,88.7149,85.1262,0.0,158.5226,47.2792,5.0057,3.0161,0.4054,0.2378,0.0,0.0,0.0,0.7492,4.7087,6.5511,0.0,0.0,5.2794,182.6144,2.0534,1.3828,0.9681,1.47,0.0,142.0939,1.7085,0.0,1.4277,0.0,0.5877,4.1476,17.2363,6.8592,5.8356,8.4615,4.0092,13.7534,0.0,7852.2873,0.0,137.2995,246.0729,439.229,0.0
MAR_A03,0.0,148.1881,0.0,0.0,0.0,536.356,0.6675,0.0,0.0,0.0,7.1195,3.4089,0.0,0.0,0.0,0.0,0.0,3.0065,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,5.9181,0.0145,0.0185,0.0172,0.0117,0.0,33.7217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.141,0.4637,0.7941,0.0,0.0,0.0,703.0556,0.0,0.0,0.0,30.7386,0.0
MAR_B05_06,0.0,0.0,0.0062,0.5444,0.0041,0.0,0.0123,0.0044,0.0438,1.4866,0.2044,0.0032,0.0,0.0153,0.0478,0.0105,0.0033,0.0841,0.0,0.0,0.0,0.0057,25.1455,3.989,0.0062,0.0,0.0016,0.0004,0.0005,0.0006,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1744,0.0029,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698,0.0
MAR_B07_08,0.2081,0.1713,0.0063,4.2855,0.1359,5.3991,0.1551,2.5142,0.2259,0.1006,1055.6032,49.6333,0.3715,70.7099,75.889,103.3088,0.11,219.4948,0.3229,1.5151,0.1213,0.581,0.1517,0.026,279.5438,5.7527,0.0899,0.0134,0.0292,0.0719,0.0026,0.1316,0.1406,0.0398,0.0512,0.2488,0.0605,0.1233,0.1358,13.6341,0.1269,0.1196,0.0444,0.2162,0.0,28.6834,0.0,0.0,45.1631,51.0019,0.0
MAR_B09,0.6498,0.6921,1.8581,24.6806,0.2588,0.2025,0.0046,0.0033,0.1105,0.2072,1.9551,0.0244,0.0154,2.8903,1.2024,0.1522,0.0003,0.0198,0.0018,0.0015,0.0009,0.0054,0.5716,0.1371,7.567,0.018,0.255,0.0176,0.0829,0.1078,0.0003,0.0113,0.0022,0.0,0.0,0.0054,4.3574,0.1258,0.2061,0.042,0.0288,0.0055,0.0028,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR_C10T12,1672.0923,6.8729,0.0,0.0,0.0086,2821.8123,11.9047,0.2163,0.7691,0.0,7.9886,1.6301,0.2006,0.4869,0.0,0.0665,0.1374,0.0,0.0,0.0,0.0,0.218,0.0,0.0,0.0,106.5317,1.4252,1.1505,2.0104,1.4984,0.0,708.0968,3.6163,0.0,0.2951,0.0,0.0883,0.7239,1.8218,39.1024,12.6519,14.6881,4.5283,14.0026,0.0,13256.1531,0.0,0.0,0.0,462.88,0.0
MAR_C13T15,14.009,0.9282,0.0156,2.3172,0.0177,6.5449,459.7306,1.9413,3.6802,0.016,3.3964,0.8906,4.8387,0.9838,0.0202,0.751,0.6992,3.3807,0.9049,2.9261,0.0803,25.143,0.1626,0.0344,5.5524,10.996,1.1149,0.314,0.7906,0.6598,0.018,2.805,1.6612,0.1552,1.0404,0.0173,0.2355,2.7325,5.2424,24.0707,2.4754,2.8525,0.6135,3.0098,0.0,1243.8831,0.0,0.0,10.9611,60.8904,0.0
MAR_C16,2.2842,0.0381,0.001,0.374,0.0042,4.1425,1.9743,57.6352,4.8826,0.0044,0.291,0.0509,0.6453,3.6205,0.2058,6.2301,0.0328,3.2917,0.2458,3.2468,8.2602,29.2214,0.05,0.0117,270.5396,11.4495,0.0658,0.0152,0.018,0.0658,0.0126,0.1664,0.5566,0.105,0.483,0.0318,0.5882,1.301,4.1144,0.0619,0.03,0.038,0.6003,2.3029,0.0,18.7957,0.0,0.0,23.5626,6.7855,0.0
MAR_C17_18,3.9892,0.5423,0.0399,16.7312,0.0164,226.4235,27.4499,0.9862,261.4871,0.0321,41.0727,13.3722,4.9636,41.3816,2.5308,3.8225,2.3557,20.29,2.0986,11.1442,0.3339,5.4093,4.2148,0.8307,16.8244,95.5785,3.4332,0.5696,1.6848,3.7324,1.0294,7.1891,57.6725,8.3428,5.4533,34.7509,1.1454,15.5822,27.1825,27.1662,37.8304,31.7444,10.5721,33.6457,0.0,193.988,0.0,0.0,12.1501,28.1479,0.0
MAR_C19,2.7636,1.0171,0.0108,3.1375,0.0043,1.9995,0.0953,0.0111,0.1136,0.0347,0.5486,0.0362,0.0273,2.7375,0.3158,0.1426,0.0154,0.0981,0.0199,0.5215,0.0005,0.1035,1.2175,0.1789,4.6991,2.8003,4.6235,1.236,3.3238,0.6477,0.0902,0.2458,0.0657,0.4091,0.0409,0.0,0.025,0.0923,0.3504,1.6469,0.3662,0.4659,0.065,0.2298,0.0,15.9165,0.0,0.0,0.0,1.1277,0.0
MAR_C20,461.8381,0.227,0.0283,12.4154,0.1624,109.8559,68.903,3.7092,57.2032,0.0951,543.6667,46.0277,239.3223,110.5398,8.5416,26.8429,3.269,89.2368,7.7177,35.9598,4.1978,41.4188,8.0994,4.4083,194.8916,96.984,1.2989,0.2987,0.6131,1.0367,0.2935,9.5071,17.037,2.1824,2.3821,0.0,2.8955,10.1234,30.2675,10.9609,11.8389,29.0521,4.7898,31.8666,0.0,495.3186,0.0,34.9965,0.0,96.306,0.0
MAR_C21,56.38,0.1097,0.0032,0.9789,0.0024,25.9197,4.2898,0.3841,2.8183,0.017,30.3423,133.1316,11.2263,7.1536,0.2583,2.6297,0.3768,5.8362,0.9197,2.5628,0.0325,3.3076,0.8564,0.3798,12.2435,16.8051,0.1833,0.1304,0.1569,0.1903,0.0909,1.6559,1.4916,0.644,0.6519,0.0,0.0905,3.0056,1.3852,7.3142,8.5894,43.6231,1.4908,5.6133,0.0,671.2021,0.0,119.6229,0.0,17.8661,0.0
MAR_C22,21.0577,2.885,0.0084,20.7468,0.0301,122.5588,68.3169,1.1339,5.4975,0.1175,22.5363,5.401,17.4313,5.1682,0.2626,3.1184,0.2322,76.7367,9.7713,75.7347,0.4067,15.1068,0.5654,0.2319,99.522,186.2885,10.1009,0.6515,1.4312,3.4013,0.1857,3.5552,1.7742,1.5291,0.378,0.284,0.288,1.2216,2.4083,10.3103,0.6249,0.9691,0.9659,2.8896,0.0,188.0296,0.0,0.0,50.8869,24.3909,0.0
