V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T,NLD_HFCE,NLD_NPISH,NLD_GGFC,NLD_GFCF,NLD_INVNT,NLD_DPABR
NLD_A01_02,3389.9342,0.6749,14.1754,1.5492,2.5113,11043.9388,137.1708,75.7852,22.6917,8.4198,46.9444,19.0679,67.1622,9.655,14.2821,22.4823,26.0358,11.0293,31.6428,10.7135,14.9904,93.1998,46.6984,10.6146,222.9364,324.8903,47.6172,9.1893,15.8366,47.9609,2.2986,330.8421,13.5112,11.7827,23.1694,24.9531,60.9805,78.8208,231.9755,137.6641,18.647,333.6985,20.8094,37.9294,0.0,4815.3873,1.3881,271.9891,375.7137,80.5179,0.0
NLD_A03,9.1522,7.5079,0.0031,0.0004,0.0005,163.7629,0.1238,0.0029,0.2064,0.2291,2.1069,1.1729,0.0461,0.0096,0.0074,0.0176,0.0118,0.0075,0.026,0.0106,0.0086,0.4955,0.2556,1.1934,0.136,2.3169,0.0491,0.2346,0.0087,0.0624,0.0039,21.0021,0.0216,0.013,0.0542,0.1073,0.1307,0.1871,0.126,3.1041,0.176,17.8758,0.6055,0.5915,0.0,137.7581,0.0001,0.1475,0.1318,2.0051,0.0
NLD_B05_06,334.1521,0.044,524.3825,36.1934,59.6772,254.153,28.1959,3.8775,74.1978,5767.4824,823.3014,21.2554,39.5474,40.0301,637.3829,71.6192,1.7797,2.867,5.1482,11.5879,59.7168,18.4134,621.1846,21.3063,369.4907,269.8762,18.0139,0.857,0.6729,47.1241,3.1176,167.7667,3.2,7.1955,9.085,34.0451,42.0574,293.202,40.035,59.4033,117.36,246.7364,70.8311,96.1713,0.0,1970.0129,0.0,0.3207,202.5732,-14.8888,0.0
NLD_B07_08,25.9759,0.3846,3.9736,62.4693,52.0197,3.5061,2.5721,0.0,1.2717,0.0,117.0217,1.187,5.1819,163.2827,62.0261,6.1798,0.0,0.0,2.7386,0.0,8.3398,1.0875,0.0,1.9747,416.2617,10.6502,0.0,0.0,0.0528,0.0,0.0,0.0,0.0,0.0,0.6848,0.0,3.9689,19.1453,2.4297,45.4943,0.8751,0.0,0.0,0.0,0.0,153.93,0.0,0.0,0.0,3.0058,0.0
NLD_B09,0.0,0.0,378.2101,33.0396,53.3043,0.0,2.3637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.3701,0.0,0.0,0.0,0.0,0.0,3.1453,1.3558,0.0,0.0,306.2402,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.8546,0.0,4.9597,23.9019,3.0363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.2449,0.0,0.0
NLD_C10T12,2689.7613,13.2807,3.4767,18.2767,15.2686,11580.4404,82.9664,3.0244,72.9797,64.1587,402.1876,342.8807,44.7031,54.8385,21.8389,40.6444,45.1525,21.6615,51.9263,15.546,15.8628,277.8507,76.1405,345.2056,246.8104,1098.1121,39.4628,12.9705,11.1866,26.6965,14.8049,3388.3936,60.5453,8.7413,97.3518,146.4861,66.5526,358.9595,152.4065,225.4094,89.7811,1232.9897,445.8814,85.5629,0.0,24149.7063,0.0,17.8032,253.3845,924.5822,0.0
NLD_C13T15,3.522,3.2492,0.3329,0.0016,0.0034,2.8673,242.434,1.8262,11.6349,0.2045,2.3821,0.605,17.7062,2.0762,0.7865,3.4872,8.7679,14.5235,13.5376,14.2695,1.2784,23.4742,0.4407,1.9527,20.6148,16.7398,1.6876,0.7753,0.589,1.5075,1.9832,5.2075,0.3186,4.5275,1.0657,1.8564,1.5269,20.3582,42.194,41.1044,1.843,99.5725,2.1433,15.2111,0.0,2908.8778,0.0,0.0,49.5862,16.7158,0.0
NLD_C16,32.3155,0.0323,1.349,0.0828,0.1095,72.2075,16.0187,531.3701,17.3826,1.3792,27.8866,26.5426,37.395,19.3339,20.7823,44.5467,9.3318,5.8011,43.349,12.8506,46.2106,193.251,4.5803,11.7482,1211.5905,107.832,11.8242,1.4091,2.3746,41.1823,1.0748,18.709,9.6704,7.078,13.886,9.0237,259.2782,29.0164,177.4627,18.2196,11.6786,21.5441,3.4895,47.3316,0.0,417.7387,0.0684,7.0955,126.9365,11.8683,0.0
NLD_C17_18,21.071,4.4235,4.0851,3.3694,5.8758,663.84,10.1409,6.8002,1729.978,2.0773,69.4112,69.3737,90.9438,28.3529,30.0865,44.7773,23.0183,18.4745,112.283,44.3247,11.7604,65.5177,14.5268,37.9511,107.885,429.9006,34.4012,14.5516,7.6165,36.7961,5.7501,57.4089,595.5222,40.4102,112.0809,104.3261,46.9931,228.6405,297.155,163.0739,134.712,404.5435,32.6545,39.1696,0.0,1334.1704,4.7355,32.1512,384.7363,26.3951,0.0
NLD_C19,207.3534,15.2443,6.2195,0.3234,0.4113,35.6349,6.3253,3.3066,8.6953,375.0215,816.3838,8.125,19.4894,22.1679,11.0834,30.8491,3.6603,68.9501,20.3172,6.0126,9.2407,49.6897,99.3595,28.4502,361.8476,347.5851,879.5462,300.4039,886.1576,115.2427,13.9158,18.6245,5.1969,1.4237,38.0491,86.9916,50.6192,117.7692,237.1418,81.6715,55.5355,42.5087,48.7892,42.7891,0.0,3806.1658,0.0196,0.5182,4.7117,65.3742,0.0
