V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T,PER_HFCE,PER_NPISH,PER_GGFC,PER_GFCF,PER_INVNT,PER_DPABR
PER_A01_02,1510.4977,0.4653,0.7448,13.3473,0.0005,5838.9276,41.7789,85.9507,0.2873,0.065,9.9255,5.8891,8.2299,0.1928,1.0223,0.0211,0.0009,0.002,0.0281,0.0056,0.0021,156.7262,0.3154,0.0339,1.9799,1.0338,0.2594,0.0003,0.0066,0.0099,0.0024,401.4528,0.0056,0.0792,0.0038,0.6952,0.0402,0.1347,0.0372,17.0056,0.6293,3.9573,0.6906,33.1219,0.0,7092.5727,0.0,1.4764,316.7801,-6.1327,0.0
PER_A03,0.9285,17.059,0.0346,1.0322,0.0181,1171.3724,0.0459,0.0022,0.0895,0.0148,0.2398,0.0174,0.0537,0.029,0.0961,0.0976,0.0039,0.0025,0.0817,0.0017,0.0006,0.4417,0.0879,0.0384,1.3391,0.4023,0.1575,0.0077,0.1354,0.0376,0.0007,54.779,0.1122,0.767,0.0055,0.1474,0.0007,0.2462,0.2701,4.1304,0.2244,1.7779,0.1869,2.2519,0.0,926.7348,0.0,0.0008,0.0984,-0.0016,0.0
PER_B05_06,56.5223,6.4682,38.3217,111.1132,7.8948,102.8188,3.3557,1.3574,5.0798,1698.6676,20.1797,0.0586,6.5813,1214.4646,153.0098,9.1969,0.0118,0.3143,0.6034,0.2286,0.0999,2.4477,470.6003,28.0514,11.3078,5.7212,61.8225,0.4092,2.1286,3.2565,0.54,6.2705,0.6263,1.1345,0.0159,0.8259,0.0396,4.2232,1.7619,20.6098,1.0403,1.9833,0.4035,10.1165,0.0,63.9965,0.0,0.0,9.0736,-0.1761,0.0
PER_B07_08,25.1046,0.4868,53.4023,172.593,0.6652,25.6945,1.5717,0.1112,0.4673,0.5684,20.9481,0.4277,0.6406,166.0302,473.257,1.2949,0.1093,0.5609,1.4145,0.5215,0.2287,39.221,46.2064,14.3137,753.6451,1.7346,1.0311,0.0036,0.0324,0.1367,0.012,2.8778,0.3652,4.483,0.8781,3.6615,7.3656,2.48,1.6591,94.6605,1.4247,3.424,0.3266,4.7122,0.0,190.1457,0.0001,6.5044,594.2093,-23.7511,0.0
PER_B09,0.5062,0.0067,147.6495,243.9766,1.6925,0.2985,0.0584,0.0041,0.0677,0.5024,0.1018,0.0194,0.0623,0.0328,9.1125,0.1163,0.0021,0.0029,0.0255,0.0474,0.0196,0.029,0.2675,0.037,8.0207,0.3865,0.1488,0.0045,0.0818,0.0818,0.0112,0.0992,0.1058,0.7529,0.0214,0.3609,0.0384,0.5864,0.4488,0.7031,0.2473,0.4592,0.151,0.1174,0.0,1.3548,0.0,0.0,68.0984,0.0,0.0
PER_C10T12,513.3293,8.8407,3.4535,31.656,0.2755,2742.1637,13.5581,1.0056,13.5552,1.101,52.5448,9.0265,14.1689,1.2517,4.0866,2.7958,0.1346,0.1966,3.7636,0.6593,0.2084,42.9916,4.6432,1.1191,23.3743,11.7113,3.0563,0.1031,1.782,0.777,0.0328,1638.5712,1.6908,10.9262,0.0966,5.0366,0.9851,4.1063,4.9047,196.8979,10.1358,18.9897,19.6247,103.9805,0.0,17341.0058,0.0003,10.6828,80.5611,-11.2862,0.0
PER_C13T15,22.2729,18.1721,2.2193,7.8737,0.135,42.1848,671.8209,2.29,14.8784,0.5544,14.6233,8.1496,14.0505,1.5924,1.0773,3.8123,0.0443,0.0804,0.3913,0.3496,0.1605,128.9969,0.4935,0.1329,36.4478,8.1211,0.3494,0.0008,0.037,0.0422,0.0042,26.9143,3.5,0.1896,0.0086,5.531,0.0364,42.7309,24.9998,26.154,3.2482,23.6185,3.1712,8.6703,0.0,2290.5765,0.0,0.0,33.246,-62.8664,0.0
PER_C16,4.9692,1.045,0.2432,20.9163,0.0003,4.5912,0.8958,74.2389,5.4368,0.0001,3.1203,0.0024,4.5552,1.209,1.2275,1.0981,0.0001,0.1238,0.0,4.6264,2.1512,142.4741,0.1915,0.0994,355.8837,0.4222,0.0323,0.0,0.0011,0.0017,0.0004,0.585,0.0003,0.0072,0.0002,2.9472,13.0866,1.3609,0.2225,38.8707,0.2331,0.8171,0.1242,8.0425,0.0,2.2062,0.0,0.0,2.3625,-2.6051,0.0
PER_C17_18,36.2522,0.5676,0.2277,12.7184,0.0462,295.9146,13.6455,1.9959,748.0629,0.3436,27.0187,6.523,21.6526,10.6774,0.4576,9.5677,1.1636,1.1254,0.9825,2.699,0.9938,41.1364,20.3284,2.7201,17.8218,127.5237,1.7679,0.002,0.1898,3.4906,0.3461,26.2198,124.5833,81.0877,1.3021,128.3487,15.252,236.7771,109.991,215.8047,137.8688,11.7194,14.9595,45.9174,0.0,830.7219,0.0,0.0553,0.0029,-0.0421,0.0
PER_C19,36.0218,117.6497,31.9348,828.0483,1.6024,296.8703,17.0321,3.4303,20.8725,92.9344,35.3253,1.2302,8.5734,24.5882,63.1797,16.0451,0.2643,0.9251,3.7657,4.5778,1.9707,36.6298,141.7464,15.2825,181.5479,95.8977,1095.5497,7.5101,37.2501,60.1205,9.8925,37.0412,2.4915,17.1753,0.2435,20.9112,0.7891,74.1855,30.5105,367.5739,22.2016,38.4482,7.8471,18.9104,0.0,1280.982,0.0,0.0042,5.0814,-5.5875,0.0
PER_C20,373.1987,1.0908,10.3073,214.1987,0.7789,131.4191,65.66,13.1172,27.9986,15.5988,274.7585,40.4951,280.4551,10.5936,13.4467,16.8953,0.7163,1.959,1.0414,12.6381,3.9144,167.6043,1.0194,5.067,83.8755,9.458,1.0775,0.0033,0.2078,5.0497,0.0196,17.7155,2.7455,8.1099,0.241,6.8543,12.4121,20.0007,24.1714,55.3346,10.0259,61.7489,5.1897,31.9163,0.0,1321.4211,0.0,0.0102,0.7173,-1.5648,0.0
PER_C21,34.4194,0.0031,0.1465,1.4607,0.0579,11.2584,0.0711,0.1734,0.0916,0.0759,1.8148,19.7729,0.8946,0.1028,0.0904,0.0261,0.012,0.0201,0.0613,0.0354,0.0158,0.7818,0.0982,0.0238,1.5762,0.1706,1.0277,0.0111,0.0254,0.1931,0.0367,0.7523,0.0553,0.1722,0.0003,0.0454,0.0559,3.949,0.073,22.4952,1.4926,178.4343,0.229,1.4687,0.0,516.8871,0.0,0.6187,0.0,-0.033,0.0
PER_C22,17.3059,2.3984,18.5479,114.0601,1.2197,397.3806,43.8259,0.3562,38.7774,1.4104,117.785,30.0278,180.8373,3.0354,5.6557,7.6598,0.4936,3.5854,1.1093,18.2074,5.0274,162.2989,1.3631,0.4518,394.6626,84.4994,137.9577,0.0798,0.0592,2.0133,0.1339,24.2861,3.6935,0.9523,0.013,10.6399,9.2375,21.4423,13.7012,90.7142,17.9305,23.1874,3.5455,14.0335,0.0,252.8974,0.0,0.0,13.2782,-5.3858,0.0
PER_C23,19.7702,0.4527,1.9224,148.9194,0.0505,133.8519,0.7831,0.0831,1.682,0.1675,26.1902,6.5886,3.1961,69.7881,8.155,1.4802,0.1834,0.2031,1.6038,6.609,2.0748,60.0645,9.1981,27.5449,2186.7823,23.2927,14.1821,0.0735,1.0381,1.5693,0.1812,14.8593,0.2583,3.4245,0.0185,2.5044,29.0447,6.4716,2.3607,223.716,2.0035,5.2567,1.2025,9.974,0.0,62.4808,0.0,0.0001,52.7868,-0.4463,0.0
PER_C24,19.6694,0.2872,5.926,51.0959,0.0982,19.5926,2.8576,0.7428,8.5654,1.115,74.4639,4.8139,31.659,12.7469,1614.4377,155.6821,1.8646,312.5184,9.7403,17.5839,4.7757,225.2083,0.8691,2.8703,68.0004,0.7164,0.223,0.0006,0.0023,0.2498,0.0025,1.0026,0.6591,0.9747,0.1421,24.5503,1.2906,5.293,2.4933,24.7073,0.6051,4.7567,0.4233,3.7651,0.0,76.6524,0.0,2.3596,93.6465,-14.7314,0.0
PER_C25,37.1846,8.0612,53.1393,318.9207,10.8148,288.1379,8.0404,5.5742,5.6722,11.7429,33.6511,0.5704,9.6238,3.8182,16.9335,138.5048,1.9526,5.5877,56.6532,72.1549,26.4308,111.7042,15.9087,3.0189,588.3178,4.9738,0.2985,0.0208,0.0854,1.7497,0.0021,13.7773,0.4568,26.5008,0.0192,3.3777,19.3786,9.8511,30.8178,70.0721,2.4231,8.6171,8.1032,15.7598,0.0,361.5699,0.0,0.0025,642.044,-483.137,0.0
PER_C26,0.8985,0.7224,0.1225,0.2542,0.1234,0.5383,0.0847,0.0091,3.5907,0.0391,0.2268,0.057,0.1972,0.0164,0.046,0.1846,7.7521,0.4609,0.172,0.1772,0.0631,0.1376,0.5305,0.007,4.9146,0.5854,0.0,0.0041,0.0011,0.0022,0.0,0.3303,1.001,45.4213,1.2371,1.1733,0.018,2.2364,1.5561,4.3606,1.073,5.323,0.1632,6.5082,0.0,458.3798,0.0,1.0155,192.9834,-582.8662,0.0
PER_C27,0.0507,0.4781,1.8183,8.6278,0.3349,22.8533,0.9984,0.1063,1.2155,0.8366,1.3382,0.3736,3.7168,0.3937,19.6046,12.4152,0.8507,7.0445,4.1939,10.1513,3.2614,6.655,30.35,0.5179,134.4875,0.5812,0.0444,0.2449,0.0638,0.0034,0.0003,3.9673,0.2433,34.0266,0.0989,1.0359,0.8119,0.9346,0.9896,8.3279,3.5606,16.7866,4.8607,8.6275,0.0,349.5863,0.0,0.0022,262.6923,-329.7698,0.0
PER_C28,0.6404,16.3144,11.3654,36.7673,1.3183,73.571,7.981,1.4657,3.3195,1.7953,2.1617,0.3181,5.5434,5.768,2.3562,14.7242,1.8976,1.8001,52.47,4.691,1.8644,245.405,3.1892,0.2738,41.1079,2.7535,0.2196,0.0071,0.1065,0.0979,0.0018,0.2747,0.3798,4.1789,0.0497,22.5739,0.292,6.6403,8.3915,20.1308,7.622,20.5591,2.98,2.8488,0.0,76.1585,0.0,0.0,893.3656,-758.0951,0.0
PER_C29,9.1469,0.8623,0.627,1.8954,0.0,0.2471,0.0,0.0177,0.0858,0.1652,0.096,0.0,0.0137,0.3723,0.7855,0.6079,0.0,0.0,0.2889,30.0737,1.7281,0.0619,1.4742,0.8933,0.6526,115.6172,48.6676,0.7405,4.2957,0.7999,0.1257,0.425,0.0003,42.6477,0.0,11.946,0.0,0.3854,3.1641,22.2943,16.0378,0.4203,0.0003,2.2977,0.0,846.0719,0.0,0.0,735.0063,-579.5255,0.0
PER_C30,0.0,22.3547,0.0086,0.0,0.0,8.8282,0.0,0.139,0.0,0.0305,0.0,0.0,0.0,0.0091,0.0,2.808,0.036,0.3257,0.3527,16.8774,15.1775,0.0,0.0011,0.0001,0.0,3.1622,21.5935,0.8896,16.263,1.0001,0.268,0.0,0.0,2.7729,0.0202,0.1087,0.0,0.6801,3.979,5.5537,0.0,0.0,0.1313,0.2254,0.0,385.2828,0.0,0.0,168.4767,-148.3106,0.0
PER_C31T33,18.7447,35.6184,50.3412,76.2998,2.3973,181.1335,44.7581,4.2577,9.8106,1.6149,24.9255,6.2246,13.3672,8.0406,3.7614,31.5118,2.5454,3.3345,121.1732,5.7613,2.0966,1557.9302,8.8969,2.168,154.2423,12.3431,0.0018,0.0,0.0001,1.3442,0.0,64.0367,2.3163,16.7138,1.0956,108.3328,2.8074,6.22,47.3355,190.2757,114.0371,683.2285,22.7707,49.197,0.0,3467.1395,0.0,0.0,1310.1555,-326.6878,0.0
