V1,POL_A01_02,POL_A03,POL_B05_06,POL_B07_08,POL_B09,POL_C10T12,POL_C13T15,POL_C16,POL_C17_18,POL_C19,POL_C20,POL_C21,POL_C22,POL_C23,POL_C24,POL_C25,POL_C26,POL_C27,POL_C28,POL_C29,POL_C30,POL_C31T33,POL_D,POL_E,POL_F,POL_G,POL_H49,POL_H50,POL_H51,POL_H52,POL_H53,POL_I,POL_J58T60,POL_J61,POL_J62_63,POL_K,POL_L,POL_M,POL_N,POL_O,POL_P,POL_Q,POL_R,POL_S,POL_T,POL_HFCE,POL_NPISH,POL_GGFC,POL_GFCF,POL_INVNT,POL_DPABR
POL_A01_02,5551.0649,7.3114,8.7127,11.505,0.0296,13883.2121,79.1203,793.4918,239.4171,5.7787,91.5353,27.6767,143.2041,19.049,7.7464,21.8595,2.5038,15.4902,28.2498,19.4847,8.8444,134.8582,95.6492,9.2849,82.9317,1125.6492,92.9081,0.5664,2.2523,8.3272,0.7982,98.9803,2.8616,2.9045,5.1927,8.5394,31.7654,23.621,351.201,46.7617,11.7639,76.8974,6.0379,68.4497,0.0,11948.7615,2.1026,320.2559,216.8815,193.9836,0.0
POL_A03,0.7916,3.7883,0.014,0.0848,0.0004,174.4593,0.1017,0.0695,0.0616,0.0178,0.1662,0.0127,0.0763,0.0487,0.0304,0.0588,0.0313,0.068,0.0415,0.0888,0.0286,0.1437,0.0299,0.0333,0.2401,15.5613,1.2171,0.0052,0.0329,0.0565,0.005,8.6058,0.0189,0.0266,0.0287,0.0348,0.0397,0.4137,0.1261,0.066,0.1145,0.7636,0.0932,0.2197,0.0,19.6764,0.068,3.0579,0.2564,1.0973,0.0
POL_B05_06,92.0073,0.0979,101.6969,86.5174,1.5289,72.1565,5.1791,4.9422,30.7247,544.7498,118.3425,1.2242,20.0718,82.1347,410.3723,11.2354,2.2309,5.8117,5.3927,5.2091,3.1242,9.2996,1452.1572,42.2593,117.2234,38.9052,18.7116,0.086,0.3951,13.4697,2.1984,6.1607,1.8316,4.7616,7.9266,7.1051,45.5286,19.4312,31.5253,14.4845,6.1192,9.9931,3.7703,4.1118,0.0,1248.4195,1.3775,19.9713,136.5834,15.8259,0.0
POL_B07_08,33.062,0.0069,318.89,313.9664,0.0,6.1154,1.3432,0.3968,2.2567,1257.2099,464.3703,1.3735,29.4954,950.9753,1002.9763,88.2874,70.922,106.2868,28.1522,21.2561,2.7516,7.1354,454.5093,16.4523,1423.6616,50.3109,44.0624,0.0,0.0,6.3374,0.7652,0.7065,0.0296,0.0,0.1116,12.1954,9.9352,35.7876,56.7372,37.3129,6.4851,1.7129,1.9067,13.3959,0.0,125.8625,0.0,0.0,11.9994,93.4112,0.0
POL_B09,0.0,0.0,118.0948,50.3981,123.0844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.6132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL_C10T12,3453.3747,12.584,9.1114,16.3454,1.7998,12335.4155,69.4243,52.2917,80.4162,69.1241,166.5416,16.676,144.4119,61.5797,52.6766,104.2633,32.5976,79.33,45.6844,81.6663,22.6184,171.8503,42.8703,43.875,313.5289,2583.9553,157.5071,2.4368,10.9428,53.4539,4.7783,2042.3326,11.1893,19.8935,26.6869,98.3994,91.2298,76.8097,117.6825,103.8423,131.2803,320.6409,31.9853,215.4288,0.0,29202.3798,6.2822,65.175,191.9201,318.261,0.0
POL_C13T15,15.9714,0.23,3.467,4.2832,0.059,55.7274,909.3044,10.39,46.3203,3.9914,13.6902,2.5917,113.7816,16.7813,9.9939,20.6911,4.2681,19.7653,11.763,177.7276,12.9668,199.6199,3.8857,7.8223,72.0408,159.4884,50.6301,0.3605,1.7771,20.2732,2.5766,13.5666,4.7209,2.4659,2.7309,10.7134,8.4814,12.7106,23.8301,53.8695,6.306,26.6387,18.4914,16.841,0.0,4122.5082,2.318,26.203,69.6306,42.0416,0.0
POL_C16,119.215,0.1364,11.0772,6.6335,0.1139,66.8915,22.3532,1762.1986,106.3485,5.8505,31.2413,2.6777,71.5363,88.7245,13.4172,132.4965,21.6654,97.294,29.9907,67.7355,52.3641,1742.9845,8.4827,20.6287,1142.1566,416.2518,197.8675,0.75,2.5317,60.1966,4.5588,11.3025,5.0845,3.8732,3.8402,12.3143,117.2563,19.5029,29.2589,32.7248,10.3603,22.3304,10.1258,89.1818,0.0,1154.524,0.2121,7.6104,78.5301,46.5337,0.0
POL_C17_18,42.3035,0.2316,3.1278,7.0512,0.0998,895.9483,84.3736,224.5754,2944.248,12.985,132.9494,62.4689,191.4935,186.6986,22.2691,71.1975,13.9675,101.594,34.4801,77.6041,18.7067,283.4025,9.3093,49.534,153.4828,1244.7696,109.7337,0.8031,3.8635,92.4537,14.8229,52.4767,444.9241,28.741,52.9647,518.2347,74.637,429.1023,319.0787,153.0424,227.6489,78.0564,89.8698,133.439,0.0,1552.9756,2.5787,19.3687,26.8041,60.8938,0.0
POL_C19,502.3912,9.6113,9.9757,35.8565,3.4025,240.8968,46.11,55.193,57.519,173.7865,250.9476,18.6973,196.3306,151.7047,154.8811,74.1551,17.3048,60.999,31.222,52.6436,20.6147,103.1862,35.9901,136.7671,515.38,657.6642,4240.2059,13.5626,102.8041,373.8231,34.727,49.4362,10.1884,14.6384,16.0375,217.897,114.9177,68.261,120.0887,106.5108,37.3748,111.3477,20.6058,39.8365,0.0,3628.9037,1.2945,20.7485,36.3659,43.4288,0.0
POL_C20,811.6508,0.5241,11.0504,23.0675,0.5114,261.9374,164.6426,129.6556,224.3829,102.5264,1311.485,26.8904,1245.237,215.5308,55.7989,173.1879,41.9708,210.834,60.1808,202.8067,48.4358,237.9517,11.8518,55.2095,488.0124,404.6371,144.513,1.1686,5.8377,40.8669,3.0673,36.1644,16.3456,8.4231,7.7756,27.2036,95.442,87.4791,92.7305,26.1011,18.8613,278.9312,13.847,53.3512,0.0,2067.1069,0.6761,29.9266,50.3719,38.8186,0.0
POL_C21,33.3851,0.1525,1.0746,1.7839,0.1307,72.1126,9.7841,7.2645,8.2272,7.8142,22.4597,122.6781,27.3084,9.5094,6.3274,14.2268,5.0059,11.5085,4.9285,17.8306,3.6548,17.332,4.8346,3.4612,41.286,45.9595,17.9765,0.169,0.7523,4.6227,0.5901,9.7698,3.0734,4.9408,7.091,6.2235,7.0556,54.7795,9.1903,15.6085,5.2761,196.8157,3.0597,4.604,0.0,1183.5272,1.3143,372.486,77.1086,8.7318,0.0
POL_C22,86.4874,0.3151,23.7179,30.2886,0.406,465.8963,180.0321,88.5479,172.875,18.0744,253.7606,39.0819,2484.3162,120.8643,54.8195,272.0969,215.9327,684.9592,183.248,1047.2217,60.7341,597.8726,18.9274,114.8053,3422.1199,1018.7943,431.6254,0.8781,4.6237,125.2623,11.5717,16.5641,93.2523,18.1267,10.8378,114.1405,57.801,75.6072,113.6054,75.7576,23.2827,59.5299,14.5287,48.5995,0.0,1621.8902,1.1775,48.2497,217.7057,71.198,0.0
POL_C23,133.7671,0.4412,11.0292,43.3821,0.2165,256.9532,46.0645,129.778,39.6259,24.8421,100.2232,12.5497,419.2214,1481.8997,104.8112,283.8435,76.9542,271.5495,84.0214,148.169,53.8218,282.6825,27.4768,104.9133,4352.3076,662.4165,217.3805,0.8997,3.8631,40.082,2.9848,26.8204,4.9731,24.7072,12.6123,45.0889,169.4039,120.1606,64.8883,43.5131,26.6597,77.1041,10.6902,104.3446,0.0,2313.5124,0.5666,15.0315,205.4801,61.7435,0.0
POL_C24,6.0106,0.037,11.801,128.0976,0.0,30.7291,11.8623,18.2978,8.0453,5.2502,11.2462,0.7115,64.8943,42.2366,928.0392,1800.6552,115.5768,505.2355,307.5549,576.6034,180.8366,226.7421,4.1774,243.1425,326.022,167.2011,61.6761,0.5871,1.3,5.9554,0.578,0.1985,0.881,2.801,1.7428,0.7841,7.9458,26.8434,17.114,10.0474,1.4086,2.5482,0.4,10.6189,0.0,32.3266,0.0,0.0,0.0,0.9303,0.0
