V1,ROW_A01_02,ROW_A03,ROW_B05_06,ROW_B07_08,ROW_B09,ROW_C10T12,ROW_C13T15,ROW_C16,ROW_C17_18,ROW_C19,ROW_C20,ROW_C21,ROW_C22,ROW_C23,ROW_C24,ROW_C25,ROW_C26,ROW_C27,ROW_C28,ROW_C29,ROW_C30,ROW_C31T33,ROW_D,ROW_E,ROW_F,ROW_G,ROW_H49,ROW_H50,ROW_H51,ROW_H52,ROW_H53,ROW_I,ROW_J58T60,ROW_J61,ROW_J62_63,ROW_K,ROW_L,ROW_M,ROW_N,ROW_O,ROW_P,ROW_Q,ROW_R,ROW_S,ROW_T,ROW_HFCE,ROW_NPISH,ROW_GGFC,ROW_GFCF,ROW_INVNT,ROW_DPABR
ROW_A01_02,260346.024,2657.8837,4853.0882,858.99,2559.8618,171668.619,11109.8928,6974.5281,2644.72,941.2226,3829.6268,2686.8748,3470.5226,616.9386,627.4087,411.3565,113.5274,111.9409,215.0736,313.0112,43.5617,1435.4108,2317.3226,480.1308,10400.2891,11800.9084,1017.2929,366.5981,174.2843,471.3604,33.8698,20864.5641,311.6558,337.8322,147.8597,958.1606,1423.6681,1053.1759,1228.6398,7377.4539,5674.3194,6042.3515,712.5286,1689.7149,0.0,301276.4854,173.6598,4065.9377,17422.1651,29078.0238,79.6141
ROW_A03,762.5736,9828.9366,167.9478,27.8924,8.0275,12100.4387,33.9714,15.4313,17.25,35.1615,38.9849,15.1701,11.6676,34.4191,38.4683,18.3835,6.8606,9.531,14.03,14.6257,3.3455,19.5343,46.5263,17.9798,201.0719,264.4033,99.6272,72.9698,116.6049,23.9982,1.8896,2803.5887,19.4579,25.1171,11.5896,34.6275,40.2293,41.1732,21.0221,719.3171,169.2011,669.9594,39.828,78.7028,0.0,31823.451,29.763,223.7373,407.0551,2384.9177,7.7393
ROW_B05_06,3925.8956,637.4371,230978.3344,7831.5177,7637.2825,10163.5951,1084.0151,196.0471,995.1015,116712.279,21709.0591,729.3382,1036.0277,2697.9562,5998.2637,630.0164,396.3941,327.975,885.2161,485.1431,193.2987,449.2241,34343.7507,3064.9058,12986.2687,9973.4425,26142.4723,2340.8576,3127.2344,2579.4075,575.4717,2678.8379,477.373,1804.8204,344.7187,778.8518,2027.7057,1447.8536,816.3961,6321.1915,5274.6495,1818.1862,487.2309,968.9495,0.0,17175.2434,4.633,220.2792,15906.7406,35943.5889,30.2209
ROW_B07_08,1988.3594,127.4668,5814.5848,37189.3726,4202.1224,1083.5321,154.0596,20.9861,257.1786,912.7569,3894.375,163.5547,108.3383,9237.5689,36748.8602,426.9433,101.7155,273.9739,158.3511,103.4562,27.2943,298.3894,739.8074,359.1594,31821.7529,606.3152,239.6775,41.8712,32.6346,121.4098,7.9237,321.0349,28.4412,57.0215,16.1818,51.6396,1713.6408,131.7296,148.1605,1030.5859,208.0817,112.8481,72.6781,169.4676,0.0,3582.2938,3.9128,110.2761,2551.4851,4560.5862,7.452
ROW_B09,588.2485,304.015,50377.6373,3900.6786,6765.1815,72.4937,12.2967,4.0363,56.1904,2779.3078,203.9699,10.8647,11.878,3609.4521,6617.0358,411.5504,4.3071,5.7555,12.3107,7.8351,2.4016,92.7592,285.2647,24.831,2030.897,81.1024,178.0194,29.6956,121.3198,155.1952,3.5443,31.9166,12.7025,11.9742,5.8033,31.4427,108.3808,61.3065,49.0642,157.0707,159.3273,51.0619,14.9143,46.5152,0.0,194.647,1.1435,24.5077,3730.786,15.4737,2.6722
ROW_C10T12,50765.1488,4490.467,7226.3027,641.2224,165.5011,66928.2769,1412.3971,250.631,658.6986,1293.3916,2996.4867,989.2944,398.3804,753.1555,790.8489,552.0275,92.9233,133.7824,262.5281,353.9702,50.5626,466.1298,2001.2968,458.6269,6872.8584,7491.3104,1945.2686,725.8964,662.5077,657.6416,26.9457,38258.1401,349.5018,302.3543,145.4084,1876.0189,1799.9714,704.6261,532.3638,9977.0947,8280.5844,7363.0446,867.0515,2163.5124,0.0,237868.2528,117.6783,1190.681,2121.3729,10919.5475,263.352
ROW_C13T15,1255.4314,217.1509,1429.5292,225.9036,97.5554,776.3032,51264.7869,203.1535,1369.4498,458.6488,434.6704,489.2869,1437.7016,1593.3943,1313.5557,1526.1769,143.7468,698.9478,423.8344,1705.61,154.3521,3136.3261,800.4131,372.0888,2899.0258,6077.3898,1073.8149,168.9296,401.0377,311.7307,77.4428,712.2268,166.8477,367.2714,208.3041,427.4376,382.5944,760.5522,698.8363,4611.1257,1034.6157,2067.5994,633.1354,2520.0733,0.0,81881.755,65.546,453.7469,1464.9324,3827.0653,166.1724
ROW_C16,511.1558,25.4377,226.0749,122.7119,22.1597,378.5137,97.035,7441.4054,1563.3521,25.1196,143.3801,20.9156,90.3411,210.1358,129.5,168.7299,31.2445,82.3985,122.2151,144.7729,44.6508,5657.5581,206.3603,35.3488,12422.6447,584.5129,109.1963,14.7255,15.4471,76.1079,9.4861,81.5968,36.3259,37.8763,15.555,56.0205,1203.2315,97.0386,75.4493,260.9738,152.88,88.3881,42.2793,356.117,0.0,2645.9091,7.8839,26.0842,1043.6544,339.3282,9.487
ROW_C17_18,635.9997,59.7042,375.5717,111.7207,39.7066,4234.6111,675.0733,336.4166,11513.1214,133.1863,992.6089,1076.1861,428.5229,1352.9926,257.3332,142.9322,226.1789,234.2154,173.7318,119.6506,19.713,612.2268,257.0518,153.8273,888.226,6326.7904,369.4066,57.5475,90.0599,265.2597,140.6774,463.3887,3530.6544,362.3344,309.9077,2141.7091,939.614,1989.3986,874.6433,2758.9506,2856.9892,989.572,333.5567,1140.1274,0.0,10456.8877,18.6591,403.4275,757.8996,363.718,28.0158
ROW_C19,6981.8819,2186.5058,8645.2196,3613.183,1272.1274,1848.9955,614.5328,241.7715,409.1869,19251.5974,17641.5956,351.8162,536.7679,2274.1558,4434.5504,325.6397,207.4849,311.5678,288.0364,287.5121,67.6565,494.8657,3987.9366,775.69,8159.7396,8018.4763,40373.1437,5262.4973,10318.7948,1876.9573,451.6394,770.4127,331.8725,641.1741,213.5211,999.0207,814.5916,1260.0547,1313.0827,5649.7823,2084.609,1533.029,348.3056,1219.1201,0.0,49101.1718,4.1039,229.6365,2740.2513,2260.8438,136.3217
