V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T,SVK_HFCE,SVK_NPISH,SVK_GGFC,SVK_GFCF,SVK_INVNT,SVK_DPABR
SVK_A01_02,575.544,0.8271,0.2369,1.1984,0.0142,593.6917,4.3469,183.6124,191.5636,3.7913,59.5067,3.0436,38.0593,4.8176,6.0609,10.2643,4.4628,3.618,6.9211,16.301,1.3869,13.5447,35.9214,2.3313,50.7704,136.8468,17.2349,0.1962,0.4006,9.2474,0.415,28.1018,1.9259,0.8473,1.9907,3.1172,17.9949,16.4774,43.1898,6.6488,2.9739,8.3645,2.682,5.7956,0.0,1330.6456,5.5232,20.3407,262.0003,-0.8299,0.0
SVK_A03,0.0625,0.185,0.1379,0.5076,0.0001,1.7376,0.0568,0.0035,0.0116,0.0041,0.0175,0.0036,0.0282,0.0228,0.019,0.0292,0.0126,0.0098,0.0225,0.0608,0.0018,0.0085,0.0376,0.2014,0.0351,1.2781,0.0306,0.0003,0.0002,0.018,0.0012,0.2667,0.0075,0.0144,0.0418,0.0459,0.0391,0.3212,0.0937,0.0802,0.0164,0.0685,0.0262,0.4662,0.0,3.0049,0.0326,0.0081,0.0417,-0.0024,0.0
SVK_B05_06,1.1646,0.0026,0.3688,0.5864,0.0019,0.458,0.2964,0.2853,1.6784,6.1427,0.2597,0.0115,0.2138,2.2101,10.3027,0.238,0.0966,0.1774,0.2174,0.5917,0.0192,0.1352,33.4113,0.1751,5.0572,1.0139,0.7343,0.0036,0.0375,0.6845,0.0478,0.0488,0.0513,0.0455,0.0538,0.181,0.9171,0.6696,0.2104,0.2807,0.1338,0.1184,0.0919,0.0449,0.0,6.1598,0.1094,0.7174,4.7418,0.0451,0.0
SVK_B07_08,8.2546,0.0065,0.3501,7.3405,0.0964,2.2246,1.6372,0.5803,2.3547,19.621,3.1052,0.2721,1.3888,48.3231,62.6136,0.6975,0.2371,0.4158,0.5328,0.7155,0.0795,0.1789,44.8223,1.1704,53.7928,4.3938,2.1798,0.0063,0.0056,2.205,0.0489,0.0712,0.0859,0.0327,0.0567,0.0596,12.2804,3.6895,1.7443,0.6953,0.313,0.1657,0.1442,0.0995,0.0,15.8812,0.0676,0.4996,6.8339,0.041,0.0
SVK_B09,3.6576,0.0078,3.5632,11.004,23.8087,0.668,0.0378,0.0983,4.5295,52.3622,0.0686,0.0012,0.147,5.5809,5.5356,0.346,0.0006,0.0039,0.6238,0.059,0.0384,0.0323,34.8629,1.2271,12.146,1.1633,1.1178,0.0,0.0,20.0175,0.176,0.0033,0.0108,0.0,0.0058,0.006,25.0803,2.5844,0.5537,0.2971,0.4138,0.2348,0.0069,0.1437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK_C10T12,82.1195,0.5443,0.0006,0.0027,0.0029,193.1883,0.1029,0.0087,0.3316,0.0238,12.5312,0.0919,0.2052,0.0213,0.0371,0.0219,0.0595,0.0042,0.0112,0.0495,0.0048,0.9099,0.0515,3.8824,0.3736,42.5106,20.6461,0.1587,0.114,38.6577,0.0434,74.366,4.0876,0.0946,0.3173,0.1348,0.1481,0.6251,2.1956,13.4372,6.418,17.3955,2.2463,7.5574,0.0,3475.849,0.0021,0.0525,4.5276,-1.4033,0.0
SVK_C13T15,0.8252,0.0034,0.0402,0.1718,0.0098,2.3101,87.9159,0.32,2.7532,0.1684,0.3111,0.0533,1.5271,0.5464,1.3761,10.9605,0.4177,1.151,8.8849,46.4378,0.9583,6.1983,1.5666,0.5484,3.6285,7.336,0.7449,0.0085,0.1379,0.6273,0.0661,0.5557,0.7092,0.152,0.3924,3.5453,0.3368,1.8522,1.4478,16.4662,1.5628,2.3573,0.9581,0.7486,0.0,779.3452,0.4362,0.8641,5.2565,-0.9886,0.0
SVK_C16,16.9506,0.0458,0.1873,0.9092,0.0135,14.3722,4.2332,188.1977,19.9357,2.2593,8.7306,0.4743,12.4924,11.84,8.9858,13.7111,4.6798,9.2965,11.1147,16.3427,1.3571,65.2733,31.4359,1.8089,137.1167,76.9832,13.9222,0.0741,0.1506,7.9591,0.2286,4.7756,1.395,0.561,1.6693,1.2033,9.4758,12.5313,13.7147,7.0746,3.6891,5.2048,1.1404,26.9765,0.0,196.1765,0.8743,12.1188,89.3258,-0.6245,0.0
SVK_C17_18,4.2008,0.0089,0.0219,0.1968,0.0093,43.3547,7.0532,3.0068,125.0239,0.4664,6.5608,4.302,6.6952,5.0315,1.5915,9.736,3.6352,4.207,6.1193,7.8082,0.1593,3.4488,5.4364,1.1741,3.5396,40.248,1.7228,0.0365,0.1973,2.4177,1.0761,6.8209,15.5416,1.1913,18.7351,4.8568,3.0138,59.828,74.368,16.8313,14.1079,3.8087,5.4781,5.1563,0.0,301.9495,0.5227,2.4791,101.7142,-6.3682,0.0
SVK_C19,93.1492,0.051,0.608,5.355,0.1779,24.3423,8.1839,4.9099,7.0199,93.861,40.0339,1.6599,39.0391,14.2661,31.3041,8.2083,1.8463,4.9012,9.3731,21.5202,19.5343,3.9784,8.8626,15.9183,45.9158,113.5838,333.2476,4.3422,7.0521,26.4528,2.6904,15.4414,2.2828,3.0718,4.6014,4.4334,49.2865,59.8584,87.1548,25.3951,16.1156,19.8254,5.3307,7.2336,0.0,634.5555,0.0569,12.7586,12.1888,-0.1106,0.0
