V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T,THA_HFCE,THA_NPISH,THA_GGFC,THA_GFCF,THA_INVNT,THA_DPABR
THA_A01_02,4369.2299,12.3306,0.0009,0.5911,0.0689,24483.387,165.2069,165.2663,24.0032,0.0004,212.831,120.02,4053.9332,0.441,0.5802,0.1817,0.0,0.0,0.0298,0.0,0.5451,17.4534,9.2446,0.0048,71.2444,0.2601,0.0294,0.0005,53.16,0.0861,0.007,2377.3839,0.0313,0.0117,0.9339,22.7409,11.683,3.9124,2.411,50.1738,225.7873,320.0698,22.9067,41.5244,0.0,17244.3394,11.6389,200.631,76.4251,421.0937,0.0
THA_A03,101.6128,324.4908,0.0,0.0,0.0,2703.0189,0.0,0.0,0.0,0.0,0.0317,135.741,0.0,0.2791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.253,0.0,1227.9853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6474,20.6521,49.6238,1.1541,0.0,0.0,2721.5248,3.0682,3.5475,0.0,55.9816,0.0
THA_B05_06,0.0,0.0,135.6107,0.0,1.5702,2.2215,0.6961,0.0,6.0078,10466.0495,79.7582,0.0,0.0,77.4759,220.7581,0.0448,0.0,0.0,0.3246,0.7069,0.0,0.0382,3675.9702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.3131,0.0
THA_B07_08,8.1203,0.3961,1.9085,1.4452,2.9526,58.5128,0.7922,0.0,7.2936,0.1073,128.5318,9.0506,2.133,1194.3465,126.4857,4.8265,0.856,7.9019,11.7105,20.979,1.8025,111.0548,0.3389,0.2962,1318.8275,0.0,0.4606,0.0,0.0,0.0,0.0,0.1003,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0479,0.2971,0.6059,0.0318,0.0,4.1228,0.0,0.0,0.0,12.0983,0.0
THA_B09,7.008,7.9706,400.4786,53.1486,43.7947,3.1042,0.1667,0.1195,2.7827,438.7489,29.137,0.2482,1.951,40.1654,30.9067,5.473,0.056,0.1729,0.5076,0.0595,0.0603,0.1351,28.2534,1.0787,45.5607,0.3576,5.8818,0.4461,2.0008,0.1758,0.0092,0.2628,0.0489,0.0,0.0003,0.0726,0.5091,0.5424,0.1722,0.585,0.1175,0.0642,0.0262,0.0529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA_C10T12,3205.543,730.8979,0.0,0.0,0.4103,13494.8531,392.4507,20.1421,57.5346,4.7807,450.2209,163.4094,31.0923,25.0388,0.0028,0.0,0.0,2.1798,0.0,0.0,0.2112,60.3084,48.137,0.0,0.0,120.4394,20.8777,0.1225,292.2508,0.0,0.036,11097.7718,8.0708,0.0533,6.7121,26.4575,1.5519,10.9821,20.3065,130.2518,238.643,247.1811,55.9345,171.3392,0.0,30776.2208,43.5397,14.6082,0.0,584.2634,0.0
THA_C13T15,18.956,19.4737,0.0129,1.2691,3.2196,30.6631,10898.4271,0.1301,9.8546,0.7426,306.1572,15.478,306.5755,33.7958,2.8181,0.708,86.3761,124.1015,13.4203,91.2433,114.8785,377.8029,10.6232,2.2919,13.6355,691.8256,26.3981,33.9566,25.475,6.4562,0.3427,456.9326,43.5274,0.4872,32.0636,188.2186,3.2027,30.7322,61.3315,263.3446,16.0998,139.3279,10.2947,109.5193,0.0,17562.4113,31.0616,134.759,320.0591,575.1833,0.0
THA_C16,98.1242,3.0666,0.0,3.9404,0.2299,2.8917,4.1214,650.4037,2.0816,0.4918,14.3303,0.2656,7.1626,13.9819,0.712,23.4593,19.538,13.7919,34.027,39.755,52.0877,312.2992,1.4092,2.3825,358.2689,52.9378,0.2098,0.0097,0.12,1.2841,0.0,4.9155,1.162,0.0,1.3288,6.2573,0.1625,1.9732,11.0751,0.3579,0.0419,1.0313,0.0126,3.9786,0.0,359.2576,1.7375,0.0,45.363,15.9855,0.0
THA_C17_18,11.7991,0.2451,2.0503,1.1486,0.563,155.5176,77.5725,3.829,1956.3815,5.5096,82.4557,50.5509,43.3856,69.5838,14.2223,31.6788,64.5081,47.1945,7.5371,178.6886,7.6119,74.0925,14.12,2.4787,21.6822,264.1904,17.9284,3.9436,4.1975,0.9218,4.4071,55.2258,301.7,7.1499,210.4557,289.7548,7.1837,277.7206,192.881,152.5858,517.666,32.292,11.4291,24.9066,0.0,1377.4469,3.6195,68.673,0.0,41.4024,0.0
THA_C19,1070.4737,871.3882,1220.5383,238.5289,25.5235,611.3841,372.6959,65.4256,73.4774,1113.8432,2190.0224,12.8923,362.5288,602.3429,766.0504,186.8066,240.5396,152.4641,454.2159,938.7246,119.0922,137.3794,1988.7527,72.6284,882.0522,736.0653,4263.492,1172.5787,1832.9129,4.02,46.584,439.4503,45.7557,48.5703,82.5648,139.9012,28.5034,131.2748,349.2276,767.7592,321.7774,86.1853,16.898,276.4173,0.0,4437.6009,0.0,0.0,0.0,264.7081,0.0
