V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T,ZAF_HFCE,ZAF_NPISH,ZAF_GGFC,ZAF_GFCF,ZAF_INVNT,ZAF_DPABR
ZAF_A01_02,2298.6006,17.9809,26.8538,79.0626,1.7678,5817.6383,347.6995,458.9231,12.2367,25.2999,86.1832,22.472,77.499,7.1116,12.9132,10.5847,10.9821,2.6678,11.0717,16.7628,7.7122,42.2866,27.6654,35.9192,13.5969,126.7883,21.5181,3.6697,14.5333,31.9597,2.2588,179.1662,42.0623,32.8664,41.2363,68.6416,30.9675,53.9158,56.5514,105.46,9.76,53.4907,65.4527,24.5933,0.0,5380.4438,3.6469,0.0,325.0337,-8.4737,0.0
ZAF_A03,34.5482,155.8879,0.0453,1.3827,0.0,201.0734,0.0035,0.0012,0.0968,0.2266,4.4216,1.039,0.0,0.0,0.0,0.7348,0.0,0.0,0.0209,0.0,0.0,2.7508,0.7221,1.8605,0.0,2.2222,0.4413,0.3142,0.7338,0.3164,0.0043,39.6697,4.645,0.7155,2.3832,0.0,1.5483,2.4803,2.7855,12.9667,0.8274,5.8269,9.8334,7.9226,0.0,510.4422,0.5889,0.0,0.0,-0.0861,0.0
ZAF_B05_06,16.2094,1.3147,26.4551,618.1095,2.2123,42.5951,4.8029,19.5651,55.6964,1865.123,88.5373,3.5973,5.7044,216.5251,29.5615,2.6751,0.252,16.1119,2.3385,0.3633,1.0651,100.0317,1643.5194,2.1907,150.8333,0.0,9.7777,0.5564,7.8006,13.4709,0.2759,8.9296,3.3562,22.8613,0.0,0.0,13.5479,0.0,0.0,2.5047,2.4234,20.495,10.7131,4.8234,0.0,19.009,0.0,0.0,0.0,-4.3938,0.0
ZAF_B07_08,113.9842,0.0,61.124,659.0762,1.2123,41.2574,8.5125,10.7668,12.4472,456.9152,350.6093,25.4761,314.4574,811.3606,5369.5747,1857.5616,192.9966,637.9004,1423.329,2215.8552,90.1583,823.4995,81.2552,28.4609,1683.4786,0.0,61.7545,2.5255,33.8908,58.722,0.6015,0.9533,5.2948,97.8311,0.0,0.0,66.0821,0.0,0.0,11.7558,0.8508,2.4398,7.1146,35.1615,0.0,48.2339,0.0,0.0,140.4196,-15.0446,0.0
ZAF_B09,0.0,0.0,311.7956,5.1426,241.9617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4665,0.0,0.0,270.5511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF_C10T12,1145.7725,34.8524,13.5333,98.1594,0.1869,5047.6663,5.9516,0.7157,9.3714,12.5397,204.3098,41.5732,11.5785,1.3376,2.4387,24.8998,0.1527,0.5764,1.8895,2.4691,0.1234,14.0758,10.4709,35.4666,6.3895,76.5379,8.8869,13.3047,20.8477,28.3891,0.5888,883.4592,134.4226,83.4189,61.2528,2.1732,39.6983,62.9098,69.9219,184.817,3.9148,147.9101,254.0875,88.719,0.0,16892.2785,5.0191,275.802,1.1006,-4.9996,0.0
ZAF_C13T15,20.1401,2.6578,25.2731,70.3903,0.1958,14.1269,619.4522,2.3263,8.7931,0.6763,11.4251,2.6808,17.9298,1.3342,0.4536,4.0448,1.8236,0.6333,6.0399,56.5526,0.7531,30.8511,1.2764,19.8458,60.8259,15.455,2.4154,0.3032,7.1667,21.3968,0.4336,6.1592,8.6183,51.7032,0.7562,0.4959,0.7978,0.7844,0.9277,19.1738,0.7426,19.3873,15.5483,10.6097,0.0,1979.7616,0.6964,13.9468,5.5797,-4.7352,0.0
ZAF_C16,325.9597,1.2557,39.8995,222.0823,6.215,45.4122,7.9084,225.0396,16.8727,4.2837,44.8541,5.0606,7.3006,17.3516,0.7185,10.164,0.8281,1.3808,4.4076,9.9387,0.68,43.3043,0.5141,1.6641,319.4076,13.9383,1.3765,0.0133,26.0367,33.5003,0.2847,2.122,2.204,0.1277,1.4164,1.2841,40.3739,1.4083,11.4966,10.7389,1.4926,2.541,0.0723,0.6429,0.0,155.3838,0.3824,0.0716,1.9294,-4.5436,0.0
ZAF_C17_18,101.5652,3.7766,15.966,46.3075,0.2211,411.3073,26.3528,23.4088,2037.2497,10.197,104.2359,34.4773,93.5823,20.8452,16.667,11.6947,12.3709,10.168,42.81,33.4241,2.4986,13.981,30.1713,46.7331,47.0301,195.4052,19.7832,0.6095,29.5064,51.1041,5.6273,42.4425,472.0103,54.3407,8.3226,166.5856,15.0868,68.1126,170.8893,224.5375,418.0436,80.4921,62.5784,25.147,0.0,1072.7098,0.8813,5.8276,76.5551,-29.9032,0.0
ZAF_C19,661.3318,25.4552,506.8967,1341.3402,53.5047,342.4206,42.5302,44.036,64.6864,4326.8684,625.667,55.4394,99.6374,105.1214,70.7211,53.0248,19.747,16.5847,54.2055,83.6226,7.1846,82.2712,950.5781,263.7674,735.5766,814.1711,2500.2766,55.7573,762.9109,600.9676,145.619,65.7872,11.3373,120.74,11.3773,119.871,237.1436,67.4034,120.728,386.6757,1.158,160.2329,13.2072,22.5036,0.0,3250.068,0.0314,0.0,26.9012,-6.9177,0.0
