V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T
CHE_A01_02,1219.2546,0.0,6.3276,1.2544,0.0174,5464.0195,0.5083,109.8519,7.2543,5.2099,68.8567,80.8859,20.7648,1.415,0.3429,2.1535,14.1326,2.9798,4.1246,0.478,0.7072,13.1226,3.4464,1.8987,31.2176,261.6256,19.8795,38.332,5.773,4.2872,0.5151,238.2965,1.3871,1.8273,2.7346,9.938,8.0059,53.0022,50.6014,213.4564,6.2632,72.5815,15.3028,46.1102,0.0
CHE_A03,0.0,1.3069,0.0007,0.0001,0.0,0.6758,0.0,0.0001,0.0,0.0008,0.0062,0.0098,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.001,0.0,0.0001,0.0,0.0308,0.0011,0.0046,0.0006,0.0001,0.0,0.0295,0.0,0.0,0.0,0.0,0.0001,0.0175,0.0051,0.0387,0.0,0.0089,0.0015,0.0047,0.0
CHE_B05_06,2.5882,0.0,387.8447,35.3206,0.3388,76.9806,0.1798,1.6895,22.3033,157.8746,225.8305,56.4653,5.5228,134.8659,227.8921,1.7102,1.3138,1.8174,101.684,1.1378,0.4446,18.6086,532.6387,5.7496,103.0481,219.834,57.7175,49.0465,11.7226,12.6918,3.249,1.6612,1.8611,1.4526,3.0443,26.8508,0.4264,48.5059,14.0827,172.4055,10.0051,37.5321,8.0022,21.0122,0.0
CHE_B07_08,1.2028,0.0,24.9385,22.0666,0.0874,20.2307,0.0515,0.5661,7.4352,32.6825,228.5623,23.0517,2.4117,145.3016,102.2967,1.1027,0.6025,1.0462,64.1703,0.4061,0.2546,7.5243,37.7274,2.6848,186.9638,86.261,18.0681,14.2077,2.6635,5.2348,0.8157,0.5105,0.5419,0.4799,0.9296,5.8373,0.3292,17.7749,5.5413,58.3526,2.2173,6.6507,1.7268,5.0725,0.0
CHE_B09,0.0733,0.0,8.3584,0.6457,0.0307,0.7342,0.0008,0.0451,0.415,0.4355,2.1501,1.0377,0.0818,0.619,0.2104,0.0405,0.0039,0.0089,2.4009,0.0144,0.0039,0.3348,0.9356,0.1134,2.1053,2.4431,1.245,0.4848,0.204,0.1875,0.0774,0.0113,0.0014,0.0,0.0017,0.479,0.0191,0.9047,0.1106,3.3667,0.1507,0.5528,0.0478,0.2345,0.0
CHE_C10T12,1301.857,0.0,3.5038,0.8114,0.0078,5524.5886,38.7134,9.6556,11.873,50.3545,581.5537,395.7484,1.0416,1.8895,0.0479,3.448,45.6871,27.0187,1.5334,0.1563,6.0119,7.6554,1.6752,22.8772,6.8887,537.9586,154.0877,415.2454,87.1458,5.5463,0.0774,3430.6876,4.9421,0.0035,0.1683,6.7702,1.6325,84.4088,13.1849,1279.9137,82.9451,1408.0264,50.8163,136.7956,0.0
CHE_C13T15,16.4734,0.0,2.7501,0.7186,0.0051,30.1651,234.0846,1.5783,20.0498,9.1603,61.2002,42.415,6.7806,25.0422,0.4632,3.3646,81.0282,3.2955,15.4214,8.2436,7.9247,62.6273,1.8921,8.4227,59.7714,78.3293,13.2682,17.4253,4.4482,2.1399,4.0241,14.1115,4.4383,0.1836,0.2114,1.1903,5.4073,20.443,17.7076,61.3891,2.3104,32.6126,39.5319,45.4906,0.0
CHE_C16,2.534,0.0008,52.4982,11.1447,0.0911,86.5289,3.5664,1992.1738,6.4862,2.0676,19.9097,14.8979,37.3313,30.5834,8.6462,89.661,295.7464,70.432,77.8369,4.5432,18.8598,788.6933,34.1488,17.1392,2885.6136,304.6349,15.6206,18.8577,4.1689,31.2166,2.4492,2.8692,2.515,6.964,1.6893,10.6792,37.1462,84.7649,53.7853,106.732,27.2902,16.6361,29.0532,220.9097,0.0
CHE_C17_18,7.5211,0.0001,3.8497,1.4249,0.0092,87.4521,5.0625,18.9989,383.7341,7.8439,117.7342,97.0084,46.3865,15.8045,3.3026,18.88,151.2182,40.8161,34.2211,2.6237,3.9308,32.2691,36.8078,13.875,23.0406,901.6805,20.288,19.4898,5.676,25.1659,39.4616,18.8031,798.2271,58.1863,8.6016,255.8386,13.2192,449.8597,204.235,180.1915,33.3809,54.0824,35.6016,80.578,0.0
CHE_C19,30.0094,0.0,13.5587,5.6875,0.0276,43.6211,5.0482,12.075,12.2616,101.7348,277.8734,169.7163,98.872,29.4857,17.2125,20.2704,53.5054,77.2745,17.9513,1.4895,3.1851,22.7034,81.215,6.7008,90.0984,404.7687,166.7762,145.9973,63.7105,71.989,7.2193,20.3413,2.1103,1.0293,1.7801,3.4687,1.3638,51.4292,26.7448,57.6482,4.9654,20.0183,16.7956,22.1547,0.0
