V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T
CHN_A01_02,451962.5968,19668.7324,683.857,111.8232,0.2449,622353.8974,123126.3943,48307.9303,37886.9042,27.1019,20705.1289,66984.1674,17295.0693,373.9136,69.9455,195.88,7.7141,128.7425,198.8333,40.263,27.435,11705.2079,185.2017,1369.9705,32375.0444,176.2231,121.1136,5.3698,746.1701,68.6131,2.007,41596.5439,72.5633,671.4681,1.6289,52.0649,161.5564,9899.9067,2064.848,15.5941,853.4559,1129.9276,154.147,1365.4493,0
CHN_A03,720.6731,19672.959,0.0,1.6602,0.0244,79889.7679,401.2557,373.5941,503.2728,0.3055,1289.5453,85.4925,16.2193,11.5232,6.8986,0.0,0.0,0.0,17.8419,5.206,1.9658,56.6177,11.6428,189.3104,0.0,14.0337,0.0,2.595,0.0,0.0,0.1971,37650.9661,11.8138,65.9359,0.0,5.1126,15.4597,1981.4525,247.4303,1.8123,151.4106,51.8914,3.1005,135.9987,0
CHN_B05_06,1218.4001,76.2152,80892.7291,4451.9385,127.8228,2687.4008,2468.1267,325.8729,4917.7954,226889.9822,51075.1998,522.8172,1939.5343,45916.8163,39825.7516,1689.4328,62.0015,350.5925,1816.7461,538.4536,265.9669,216.1611,180065.5489,517.3274,1171.8312,549.1909,128.7254,78.0835,27.3672,297.5973,28.178,361.2522,9.0265,0.0,1789.1703,250.3079,30.2968,477.1464,184.7693,580.7362,723.3546,322.1917,10.7009,162.1515,0
CHN_B07_08,5.201,2.1775,359.8575,18343.1909,154.374,85.3629,28.3835,8.8324,1225.3315,228.5927,18098.7779,233.7052,701.7811,78887.2882,158548.5277,4318.9837,143.2986,2737.538,2622.0473,708.4581,106.7802,155.3581,346.9148,146.0827,39922.6013,186.287,119.3245,1.8102,0.7464,95.7294,0.6366,3.7127,1.5301,0.0,0.0611,229.8378,0.1965,281.8167,45.8256,26.8328,4.2942,2.5277,1.8423,23.3139,0
CHN_B09,0.0,0.0,27547.5504,740.5655,84.3229,152.7227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,87.7795,0.0,970.6872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHN_C10T12,201973.4834,31492.6234,1682.0147,3268.5053,35.0752,317292.0919,17460.9368,1267.5967,2137.4653,4954.9814,39315.1771,10142.1977,1355.2041,2812.7467,20145.1136,6160.1149,16343.2792,8238.246,12116.8422,3176.9392,2403.8078,1504.9547,10866.3721,5543.0669,8755.909,28241.0671,4023.0879,108.3902,4705.1467,3127.0115,1056.838,146046.5977,1686.4903,2704.8495,2770.4847,2412.6975,2563.6261,20721.4735,2450.4204,7624.3549,16739.1688,7742.6966,2250.9365,2809.9945,0
CHN_C13T15,1014.8551,55.2625,8363.8518,2322.7451,1088.2525,7825.2227,729204.133,1685.3649,16324.8769,2009.733,10138.5417,10013.3419,10423.1849,10334.1588,3458.6752,6917.9889,9135.8685,8055.1374,9410.281,12744.6374,4053.5232,42226.632,3144.8007,8524.8454,11184.3948,18379.0839,5144.2444,410.5118,1195.188,2401.6563,2398.896,6003.1381,4980.3708,1494.5417,298.7661,5792.5706,1515.4945,20852.4704,4168.8015,45815.2232,3864.7284,15226.6949,1422.3256,1857.7489,0
CHN_C16,35.4388,12.1524,8313.3326,703.7527,9.0761,777.542,934.7815,60006.743,5528.5363,126.9743,1839.8424,133.1604,1135.7407,2700.4571,356.9704,6366.4683,1301.5989,1328.4364,1987.3361,916.2745,222.1805,46488.3329,198.8061,498.3807,71084.0584,399.2841,176.6053,5.9479,8.0416,95.645,10.1077,37.6884,3.4037,35.3058,0.3766,4.2919,0.0929,18.818,6.1942,42.9247,146.1498,51.3025,96.7645,5.439,0
CHN_C17_18,431.4594,143.7043,128.0042,683.3469,41.2793,16685.3582,4528.5889,1634.0293,139342.3237,217.0429,7021.7528,6784.5675,3183.562,14533.1405,739.3746,2912.5422,8186.7979,8778.8984,4936.8452,1563.2224,422.7303,14134.2702,215.641,631.7147,4510.8543,22346.4014,509.9291,12.6466,139.1814,286.0912,4585.4683,1855.2629,10503.8744,1263.2975,20692.9351,11369.6222,2282.0221,78660.529,4139.8639,18415.7676,13960.3279,101.414,249.4346,503.3907,0
CHN_C19,8723.4304,3362.6076,4605.1213,24626.7641,1772.6816,1325.4178,1541.4834,887.2759,1015.7342,37534.2651,102622.8358,630.2888,3789.5067,30325.147,100881.8025,5162.4956,1978.9105,1782.6483,5139.4209,1602.5329,847.3537,1650.3511,19298.8255,2861.9444,54600.9016,8608.7046,69885.1918,34575.849,14887.0949,29945.7378,2387.6807,1137.5634,314.3043,671.7196,372.9128,2806.1455,685.4764,24692.7996,4077.7966,5430.5074,3879.7162,336.1958,85.4769,495.6204,0
