V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T
CMR_A01_02,311.2081,1.4137,6.4442,0.0009,1.481,857.2516,32.9705,92.817,0.0225,0.0,1.7835,0.3835,0.0106,0.0138,0.5957,0.0598,0.0066,0.2412,0.3584,0.7207,0.1075,61.3418,0.0,4.5409,393.7975,5.7292,0.0827,0.0477,0.0237,0.126,0.0164,153.9447,5.2108,3.7918,4.9532,0.0168,15.801,9.6311,7.4717,3.828,1.0213,20.3549,5.8586,50.2394,0.0
CMR_A03,4.5988,2.0005,0.0355,0.0,0.0082,104.5521,0.2205,1.6255,0.0002,0.0,0.0086,0.002,0.0001,0.0003,0.0127,0.0013,0.0,0.0,0.0,0.0,0.0,1.3214,0.0,0.0249,8.2336,13.6137,0.0006,0.0004,0.0004,0.0008,0.0001,26.4572,0.0475,0.0328,0.0482,0.0001,0.3404,0.0349,0.0064,0.0769,0.0078,0.1266,0.0568,0.312,0.0
CMR_B05_06,84.1329,0.0,102.9779,2.1644,3.4252,19.9196,12.9037,0.9162,2.5211,13.2064,4.742,0.0025,0.0,40.7642,22.4635,0.0066,0.0977,0.0166,0.0309,0.0,0.0,0.5134,143.778,2.0809,8.1507,187.0785,27.2521,6.8566,6.1245,14.0206,10.5129,3.2649,5.6327,6.0142,7.4173,0.4541,0.4973,6.2096,0.0,0.0,1.4627,0.0793,0.2751,0.0103,0.0
CMR_B07_08,0.3257,0.0185,24.6054,10.8982,4.335,0.7964,0.0282,0.1763,0.0,0.0,0.0462,0.0021,0.0026,1.7722,11.992,0.4797,0.2739,0.0,0.0,0.0,0.0,0.0144,0.0,0.0019,32.0837,0.0547,0.0914,0.0125,0.0361,0.0873,0.0205,0.1126,0.0003,0.0005,0.0003,0.0,0.0011,0.0669,0.9605,0.0038,0.5403,0.0009,0.0195,0.0055,0.0
CMR_B09,0.7553,0.0,0.5545,0.108,0.0592,2.4621,0.0647,0.4485,0.1833,0.0004,0.0433,0.0009,0.0,2.0547,0.0325,0.0019,0.0285,0.0038,0.0067,0.0,0.0,0.0421,0.0563,0.1385,3.1745,64.9812,10.358,1.2868,0.9836,5.8107,6.3894,0.8404,0.1139,0.0,0.325,0.1784,0.2137,1.3189,0.0,0.0,0.4801,0.0261,0.0308,0.0024,0.0
CMR_C10T12,97.7969,0.6373,0.5225,0.0178,0.0888,375.7335,5.7226,1.2126,0.1711,0.0012,21.2512,3.0594,0.0681,0.001,0.0833,0.0081,0.0008,0.0054,0.0135,0.0021,0.0002,0.0595,0.0097,0.9541,2.0995,22.4804,0.2084,0.1181,0.2145,0.2853,0.054,589.4918,3.5094,2.3695,2.1985,0.0369,0.0048,0.8436,14.1509,15.0735,2.6647,1.015,0.9665,2.3768,0.0
CMR_C13T15,0.3311,0.4612,10.8265,0.0414,1.497,1.005,224.4206,0.4925,0.2678,0.0008,0.2116,0.0453,0.0981,0.0688,0.0039,0.0007,0.0251,0.0039,0.0041,0.0074,0.0001,4.4469,0.0158,0.0146,2.9166,1.3169,0.3964,0.0417,0.0652,0.1438,0.0479,0.3727,0.0356,0.0328,0.0346,0.0221,0.0022,1.8394,0.4943,14.7397,0.6835,0.1591,6.2416,52.704,0.0
CMR_C16,71.7391,0.0563,0.2178,0.0104,0.039,62.3796,9.3081,68.447,0.1643,0.0002,0.5766,0.0482,0.003,0.3397,0.0867,0.0126,0.0563,2.0514,3.0467,6.1389,0.9156,8.7912,0.0025,0.1518,164.2927,0.4127,0.2825,0.0839,0.0615,0.4979,0.0514,4.0515,0.0379,0.0321,0.0281,0.0014,2.5974,28.4832,61.7077,7.3548,1.3974,1.6122,25.7137,4.185,0.0
CMR_C17_18,2.7384,0.0193,0.6648,0.0114,0.0963,2.3555,1.9792,0.2951,12.8308,0.0131,0.4961,0.1079,0.2901,0.0253,0.01,0.002,0.0002,0.0082,0.0085,0.0142,0.0011,0.2326,0.9649,0.022,0.5125,2.2613,0.6721,0.129,0.2568,1.098,0.4134,0.168,4.585,1.5411,1.7781,1.0429,0.1512,4.7756,0.2215,32.1028,6.1808,6.8225,0.3294,0.687,0.0
CMR_C19,4.1735,3.6951,2.2491,0.1711,0.3028,3.3253,2.0883,2.5878,0.324,1.8299,0.2565,0.0125,0.0572,0.0732,0.5264,0.0328,0.0,0.0053,0.0082,0.0006,0.0001,1.5881,1.6408,0.0932,4.1656,4.7322,15.9004,4.0623,7.6145,3.2277,1.227,0.6549,0.2389,0.4613,0.3556,0.638,0.0613,3.029,0.1842,3.9403,1.5857,0.4495,0.186,1.0682,0.0
