V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T
FIN_A01_02,1297.4627,0.3211,5.0667,6.229,0.6176,1895.0498,0.9326,2437.4078,1952.955,0.2026,7.5154,2.2325,12.5256,1.137,1.458,4.7209,13.3648,1.8584,7.1174,1.0689,0.561,2.9175,248.2424,0.661,48.5024,38.098,9.4813,19.3481,14.0031,4.6859,1.1078,153.6527,9.4478,3.3665,10.2199,4.0544,27.4337,20.9322,10.7576,49.8006,26.1527,67.7167,5.6908,5.3668,0.0
FIN_A03,0.1624,18.9012,0.0337,0.081,0.0,47.321,0.041,0.1021,0.3573,0.1548,0.007,0.072,0.1409,0.1512,0.1741,0.3153,1.8798,0.3077,1.208,0.0734,0.0876,0.0985,0.0036,0.0732,1.2002,0.1532,0.2644,0.1035,0.004,2.1512,0.0157,31.9416,0.0131,0.5012,1.7671,0.9496,1.038,2.8565,2.0616,2.3187,1.5509,4.1577,0.5391,0.8262,0.0
FIN_B05_06,3.9122,0.0087,0.9057,0.6968,0.0953,0.5614,0.0679,4.559,31.7326,0.5572,0.8551,0.0344,0.1435,9.1636,1.7785,0.4527,0.4825,0.1394,0.4384,0.0867,0.1515,0.5065,512.8205,0.2941,14.5079,0.7301,0.3626,0.0244,0.026,0.1941,0.0646,0.1844,0.1457,0.0799,0.4981,0.2614,0.4625,0.4929,0.2543,0.596,0.1959,0.6302,0.1437,0.278,0.0
FIN_B07_08,8.2814,0.0156,10.3165,36.6033,4.292,4.028,0.1187,0.9932,185.1769,0.6446,40.6621,0.1823,2.3165,221.6279,230.795,1.8489,8.3806,0.9607,1.0884,0.5203,0.1743,0.9349,11.227,0.5004,714.5016,0.9664,0.6714,0.0521,0.0543,0.2858,0.1172,0.3744,0.292,0.1264,1.211,0.4264,0.4885,0.7618,0.4688,1.9363,0.5989,1.2664,0.2375,0.3174,0.0
FIN_B09,0.6885,0.3424,6.1375,28.7208,11.434,0.4255,0.0049,0.1026,4.7561,125.7485,7.4519,0.1227,0.2071,6.4137,12.3227,2.1976,0.0172,0.0606,0.4106,0.0026,0.0025,0.1228,5.9794,0.6566,42.7696,0.177,3.053,0.1869,0.2319,1.8549,0.0084,0.0618,0.0348,0.0,0.0011,0.0425,2.0537,1.7638,1.1339,0.4952,0.1055,0.15,0.1062,0.0978,0.0
FIN_C10T12,452.7378,0.4235,0.1075,0.2129,0.0463,1624.642,0.9593,1.2579,112.707,9.3138,178.9869,1.4359,0.0734,1.1434,0.0341,0.2202,0.0596,0.0515,0.3225,0.1024,0.0109,0.5467,2.5484,4.6505,82.0297,24.665,21.239,8.3902,0.1721,136.9946,0.1022,924.216,1.7198,41.1707,146.9257,77.238,90.9374,247.1344,154.7195,104.2631,66.8417,185.5438,37.6761,86.8237,0.0
FIN_C13T15,1.2388,0.0616,0.0797,0.1733,0.0279,2.4253,34.8529,1.1676,19.1008,0.4799,3.1196,5.0567,6.7714,7.3992,0.6041,2.4115,2.7655,0.8208,2.847,2.179,3.4556,16.1385,0.3078,36.2979,36.1958,15.9664,2.9816,3.8004,0.0603,12.7784,0.0766,2.4147,0.9171,2.2917,11.7691,11.6658,5.91,55.5203,45.1094,74.5343,4.0276,91.7041,2.6322,11.6711,0.0
FIN_C16,6.3624,0.1077,12.9568,23.413,3.5003,18.2863,1.9269,629.7207,196.9294,3.9897,9.1906,1.3733,11.261,15.279,81.5323,41.0429,21.2566,7.8632,34.5215,7.4419,18.6845,75.9155,313.1696,70.804,2418.4617,85.3506,5.3023,1.6604,1.0753,12.1006,0.5066,9.6485,4.0682,3.7296,16.887,12.2916,62.4298,64.8984,35.0029,23.6048,9.5642,17.48,6.1013,23.128,0.0
FIN_C17_18,34.6347,0.7789,2.7472,10.4101,1.1711,228.8442,8.9194,44.8544,1999.696,21.7718,114.7113,24.5742,58.3123,26.7689,44.5168,29.2842,98.5303,31.7756,61.7353,7.0821,9.2627,25.8837,25.6546,36.475,202.2525,401.9203,38.8447,9.0715,5.9776,52.2909,12.9021,34.3608,294.5755,78.2579,119.1236,49.3468,63.0183,191.1674,131.9787,107.9003,59.0552,158.1084,84.7507,34.5957,0.0
FIN_C19,181.6421,10.6964,18.545,66.9717,5.6327,28.0783,2.6217,3.6491,35.3745,603.3167,96.0068,2.8068,11.5295,19.5659,34.864,6.0901,14.4402,2.4022,12.0886,3.2651,13.2454,3.9138,99.0249,6.714,257.9796,106.5489,879.0602,123.2536,127.6707,40.022,7.6267,1.6521,1.7379,0.9627,3.7302,35.034,128.1006,14.5862,55.4991,79.5752,20.1825,48.6981,22.6695,29.4261,0.0
