V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T
GBR_A01_02,2670.2619,0.5063,6.1562,8.6436,2.3241,10674.4532,11.9105,478.7003,228.1574,2.0668,44.7588,284.0215,27.7629,5.0516,5.0905,11.6014,3.6271,3.4489,7.961,9.1814,8.4028,14.4323,600.4773,9.2687,248.5488,343.4791,34.8039,3.7318,18.6904,19.831,3.2344,80.4279,23.5704,8.9234,39.3431,180.1135,76.4596,206.3167,121.2784,118.2181,37.5565,176.7674,28.3714,7.2012,0.0
GBR_A03,0.1031,266.6264,0.0695,0.0242,0.016,812.6516,0.0256,0.0444,0.0772,0.0393,0.1163,0.0834,0.0826,0.0549,0.0894,0.131,0.0724,0.0495,0.1145,0.1868,0.0824,0.1063,0.1381,0.1572,1.0599,3.2271,0.5818,0.0962,0.5299,0.3474,0.0646,51.8387,0.8025,0.111,0.7574,4.3774,3.8295,5.3972,3.1587,2.6537,0.8974,2.5065,0.6809,0.0944,0.0
GBR_B05_06,31.1463,0.0007,236.4691,5.7165,0.5885,3.5947,0.001,0.0014,0.9161,5017.3132,426.3316,3.2206,0.3068,6.6324,175.4943,0.0182,0.0008,0.5847,0.0024,0.0044,0.644,3.8203,3441.6548,0.0242,2.9732,13.3319,4.6186,0.5995,0.0145,4.9472,1.657,0.0637,0.7834,1.9165,1.0513,2.3421,23.5048,57.6426,5.3598,4.8515,4.13,22.3117,21.0772,32.2631,0.0
GBR_B07_08,9.735,0.3258,2.4596,747.2953,7.5437,62.4479,1.368,5.2575,6.2714,1.3978,147.8599,7.5272,29.127,1105.9052,20.7425,350.5109,5.6867,17.6606,5.5349,48.4073,9.6491,8.0036,6.0383,10.7786,3171.6509,99.2221,36.7145,2.4671,2.2939,18.5294,2.5684,10.1809,6.5446,3.1719,10.8693,20.8425,43.7891,42.7813,49.473,31.197,28.7271,42.8081,10.2839,10.7599,0.0
GBR_B09,7.5996,0.2952,1753.3402,396.5372,851.9773,29.6096,1.5706,2.3973,5.5166,2.2042,8.7413,5.1255,4.8034,6.3435,5.8381,8.4088,2.8792,3.4887,8.1741,10.5366,8.652,7.4094,8.7824,5.5423,303.1434,89.1594,39.6665,0.6366,0.6983,10.6805,2.7202,7.975,7.7813,3.0853,11.0029,31.998,11.7967,92.524,15.4082,22.2574,15.4425,52.3068,3.6753,2.4106,0.0
GBR_C10T12,2087.0892,196.9457,30.253,18.6234,12.0401,16856.0287,24.4102,30.0733,101.1414,17.0048,275.4363,94.2936,99.7255,35.1677,29.5332,59.7789,193.0562,154.057,382.9605,147.1466,43.1199,61.4702,88.113,42.9121,242.0943,1731.2471,833.7965,47.1728,12.8536,896.4097,83.3332,7812.8571,442.8562,57.1987,280.7997,379.2194,287.8399,300.8916,405.6281,212.3205,936.4674,2017.0225,576.2229,229.3211,0.0
GBR_C13T15,15.8489,0.7589,3.1716,2.2898,2.1945,43.6647,439.4976,6.9877,42.6798,2.0512,34.5049,13.0509,36.617,12.0497,5.3867,17.4319,9.9042,6.7806,15.0251,165.4778,11.9486,182.1542,11.1767,8.1314,231.7703,519.8972,14.623,1.1063,2.8301,10.2541,3.7242,15.5152,21.7029,4.6643,16.0608,37.2648,26.4118,200.4842,20.3965,91.6805,36.1126,204.2095,15.142,34.1928,0.0
GBR_C16,6.3052,0.365,20.4999,5.514,1.3878,29.8069,3.6451,1826.1384,315.6873,0.9788,7.4621,8.1144,9.1989,60.5348,5.2236,132.2653,4.8459,15.0689,9.7414,161.1812,79.7857,1224.6881,7.0607,5.989,3675.7015,326.6148,10.0357,1.0825,1.5287,6.2413,2.9488,9.2733,13.2543,3.325,14.9818,38.9174,244.2012,32.3896,246.6208,28.0688,75.3018,59.7943,8.5422,72.3271,0.0
GBR_C17_18,96.9285,2.6017,8.1907,5.6858,2.0031,861.7193,25.5711,28.3609,2835.2972,2.0933,256.3137,108.9326,258.8828,71.9283,9.2071,42.3651,45.6924,39.7023,58.6746,56.3342,30.5403,115.2537,41.2681,116.7176,284.9408,1934.1757,194.2824,4.2078,4.2206,296.1776,114.4914,193.9009,1727.198,129.9192,511.3225,1536.7499,97.4102,853.0941,470.9537,1493.8214,1704.9574,2695.3771,438.3104,123.9955,0.0
GBR_C19,566.8788,22.3203,62.5128,139.4066,2.877,150.0302,6.1417,18.3074,27.2554,720.1472,336.7119,0.5417,17.8818,109.8941,9.3632,67.2001,2.5858,2.0032,17.8076,20.4281,9.3998,155.7131,12.5388,101.9903,1414.616,2856.2816,2339.4813,389.0937,769.1346,400.7342,377.9813,37.1368,21.0167,61.7607,49.7109,523.3597,76.189,337.7456,420.448,697.9395,213.0026,492.5655,33.9156,83.3879,0.0
