V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T
GRC_A01_02,2199.2937,1.3611,5.9417,1.8765,0.0058,3178.3239,18.7423,49.0859,3.7915,0.0794,38.1252,12.0874,5.1591,11.3121,31.3911,13.2197,0.9972,3.4555,0.938,1.2416,0.0658,5.5751,62.5843,38.7424,0.3675,3.5172,1.1613,2.6676,0.2685,5.5972,0.1296,869.2133,0.8145,1.0226,0.1499,0.5033,0.2074,1.0166,0.7265,43.2525,2.3951,6.0345,2.181,24.1963,0.0
GRC_A03,0.0,82.4456,0.0,0.0,0.0,23.1999,0.7802,0.0,0.0,0.0,0.0,0.017,2.1345,1.0909,0.0,0.7898,0.0,0.0,0.0,0.0,0.0,0.0751,0.0,0.0101,0.0,0.0,0.0,0.038,0.0,0.0001,0.0,54.4365,0.0001,0.0,0.0001,0.0,0.0,0.1419,0.0002,0.2407,0.0294,0.1267,0.0056,4.6877,0.0
GRC_B05_06,0.0117,0.0,0.0002,0.0008,0.0808,0.0107,0.0007,0.4883,1.4151,68.7154,0.0188,0.0055,0.0033,0.3686,0.0411,4.039,1.7821,0.0015,3.1026,0.0002,0.9215,1.6352,51.4918,0.0295,0.141,0.0536,0.0314,0.0006,0.0001,0.0033,0.0001,0.0535,0.0006,0.014,0.0045,0.0107,0.1537,0.0122,0.0027,0.0111,0.0113,0.0096,0.0033,0.0089,0.0
GRC_B07_08,2.9435,0.0257,0.009,199.0832,0.0769,2.8696,0.1082,2.2721,0.6376,6.0813,6.8089,1.6781,0.2234,91.1022,9.635,1.1705,0.46,0.052,0.0393,0.0079,0.0072,0.0654,1.0716,1.26,28.345,2.0787,1.122,0.2658,0.1992,0.1528,0.096,8.7587,0.071,0.709,0.1911,0.336,2.7138,0.8944,0.4041,0.996,0.4137,0.975,0.2478,0.314,0.0
GRC_B09,0.4519,0.2929,0.7104,12.9869,0.2097,0.1408,0.0019,0.0007,0.137,0.4682,0.5887,0.0459,0.0425,1.2301,1.695,0.1945,0.0001,0.0034,0.0011,0.0,0.0,0.0031,1.8113,0.1882,1.9951,0.0401,0.4222,0.4167,0.0752,0.3183,0.0014,0.0402,0.0058,0.0,0.0001,0.0064,0.9112,0.1638,0.0582,0.148,0.0248,0.019,0.0178,0.0178,0.0
GRC_C10T12,553.1232,3.5188,0.0041,0.0174,0.0053,713.7078,2.6234,2.5115,1.0421,0.575,2.7417,5.3603,0.1954,0.1008,9.9178,10.2872,2.4954,10.6952,1.3838,0.0829,0.0227,0.3411,0.2427,0.2624,0.3971,7.5468,0.5704,25.5981,0.0596,0.0558,0.0286,2501.6711,6.7163,0.0628,0.0162,0.743,0.093,5.4565,5.7933,40.2556,18.0332,111.8694,0.2143,42.9016,0.0
GRC_C13T15,11.9519,6.6416,0.0155,0.0866,0.0114,16.6011,117.3454,0.1435,2.1764,2.2681,1.7064,3.7237,2.2994,1.273,2.4259,2.1679,0.28,0.5788,0.216,0.1949,0.0437,2.2537,3.0208,4.33,1.8675,77.1213,1.2005,1.0393,0.6822,0.2435,0.1668,18.9289,1.0663,5.5324,3.6428,16.2208,0.7965,8.1536,1.2997,7.7892,3.7975,8.0818,7.945,5.2418,0.0
GRC_C16,7.5644,2.6354,0.0029,0.598,0.0064,60.5973,2.681,41.4722,1.7376,0.2311,6.527,11.1768,1.9987,3.2212,5.4512,6.273,0.7563,2.0501,0.468,1.1048,0.0381,52.2122,16.5857,0.6551,21.0366,0.8615,0.8942,0.2752,0.2617,0.3808,0.1296,4.6512,5.8472,0.1684,0.2014,0.169,4.1039,3.6755,0.3105,1.2943,0.243,2.176,0.1596,5.7469,0.0
GRC_C17_18,4.8358,1.4818,0.1694,0.1453,0.0157,67.7935,5.2453,1.3645,402.0742,1.4786,7.8941,21.6695,14.9338,4.9703,3.7138,2.8256,0.3616,5.0938,0.2004,0.967,0.0732,1.0198,18.4375,2.4076,11.0242,117.8022,14.9848,1.2944,2.4382,2.5753,1.1966,273.5775,14.4198,10.1147,11.1665,33.7471,3.9411,115.4863,60.6349,83.7557,17.7637,13.3401,26.2281,42.99,0.0
GRC_C19,271.0745,22.6138,1.7905,3.9361,0.1759,77.0865,4.46,1.0064,3.8888,6.9989,81.9631,10.4397,6.9921,19.9814,38.3774,18.4618,0.9082,2.4866,0.8766,1.1303,0.0549,3.331,485.4181,27.3446,18.3313,201.4844,105.3454,998.8234,67.1289,142.6648,31.8564,73.1097,0.9206,8.403,5.2001,4.3131,1.3512,31.7128,15.9732,95.0511,22.6549,36.5831,16.1334,15.7479,0.0
GRC_C20,124.8676,0.4824,0.4457,0.5536,0.0721,99.4675,35.0829,1.1414,20.4462,5.9107,180.5121,24.3685,224.8787,13.2693,30.4682,36.846,1.6459,14.4536,0.8726,0.4908,0.0901,5.1743,7.7951,8.6024,10.4183,53.4447,6.7681,7.9844,1.7344,3.666,0.8654,84.6688,4.0105,7.2995,1.864,3.1141,90.4333,11.6264,14.7568,17.0299,13.4977,94.7326,4.7222,5.0718,0.0
GRC_C21,9.6318,0.4348,0.2719,2.1201,0.0136,11.3736,3.2079,0.2707,1.4772,5.3635,3.549,32.4577,2.7465,0.9578,3.0326,1.6239,0.3869,0.6655,0.3114,0.0556,0.0821,0.5982,4.3005,1.1602,4.9406,20.964,2.9367,3.2765,0.7609,2.0427,0.3939,13.2867,1.3112,4.8759,0.9148,1.399,4.6165,8.8807,1.803,4.863,3.1579,273.4743,0.8819,1.8549,0.0
GRC_C22,37.1322,0.3491,0.1865,0.1979,0.0384,63.7337,7.9085,0.902,10.8386,1.6308,5.2535,19.8723,19.7461,8.3915,7.9348,22.8155,4.2541,5.6759,3.351,1.3766,0.118,5.246,16.0691,2.0021,58.7809,691.9354,81.8854,2.292,22.7295,7.1647,11.0996,25.5021,1.0233,54.646,7.8636,1.4029,75.5,67.9695,12.5307,5.0278,1.4854,6.5585,2.0158,13.7703,0.0
GRC_C23,3.8829,0.2378,1.3215,1.5566,0.071,30.0301,1.7026,0.1889,1.1966,2.735,7.5577,11.2327,3.6909,210.5631,8.8811,4.6922,1.1171,12.5312,1.0699,0.6458,0.0665,2.4059,12.5862,0.7264,669.4773,24.9792,4.6351,2.4828,1.2261,3.27,0.6336,73.938,1.882,6.2463,1.3184,1.276,62.5494,6.7396,2.3451,2.6048,1.05,18.8078,1.732,1.6121,0.0
GRC_C24,0.0,0.0,0.0023,0.0025,0.0312,26.2788,0.6683,0.0451,0.6382,0.0006,3.5479,6.0255,1.2056,1.5628,419.5106,124.3611,3.7585,190.6529,5.6058,4.0443,0.1508,14.7001,4.7662,15.2733,52.0323,1.8299,0.0627,0.0771,0.0,0.0,0.0,0.0,0.534,0.0,0.3963,0.5727,0.0041,0.0,0.0,7.5793,0.6868,0.1577,0.2713,0.0026,0.0
GRC_C25,29.4718,3.4494,3.5687,1.2947,0.2058,237.4883,63.4241,1.3448,9.7747,3.8662,25.4968,49.3249,29.8434,12.9496,26.9975,155.4602,11.9084,34.5826,7.5396,6.7406,0.5329,20.4612,75.8171,6.8247,658.9118,52.4991,10.6669,5.8903,2.0293,16.6791,1.0016,107.2983,3.6685,6.3056,5.8361,5.0155,2.0942,9.2377,10.915,115.7714,8.2526,17.31,43.9332,9.2816,0.0
GRC_C26,9.6712,0.4712,0.0653,0.0909,0.0146,7.329,0.7246,0.085,0.5335,0.7982,0.8262,1.5787,0.5844,1.6099,2.3885,2.2299,7.1109,0.7098,0.2734,0.5417,0.0213,0.9701,12.9366,3.4861,6.3614,18.5542,5.5348,0.874,1.3611,11.3986,0.6598,6.7688,4.5676,1.9793,4.013,1.0786,0.1646,3.9116,2.2813,5.5689,5.4125,10.6472,1.3755,3.2152,0.0
GRC_C27,7.766,0.3954,0.0933,0.1075,0.0246,13.3288,1.5248,0.1932,1.2091,1.9644,1.7982,2.3585,1.5432,3.8297,5.0352,8.2272,16.3399,27.354,1.5797,0.7703,0.0443,1.4952,32.1345,19.0513,60.7832,221.2864,16.1374,1.4324,3.0394,13.024,1.4841,25.9013,10.4812,16.0852,6.237,0.4514,0.7023,24.4242,1.6344,3.9398,2.476,3.6831,0.9028,2.0321,0.0
GRC_C28,13.463,0.657,0.2434,0.2611,0.0496,15.5118,1.2442,0.1087,0.741,1.0457,1.6897,3.4029,1.1942,1.9941,2.7819,6.4661,0.8486,2.6202,1.2001,0.4288,0.0376,1.4105,12.9765,3.6697,23.8576,14.8109,8.3888,1.5751,1.2229,14.4308,0.6052,14.1987,1.4308,2.6889,4.1098,1.1308,0.6645,3.3137,2.509,8.9229,5.0057,5.0532,2.0527,2.7719,0.0
GRC_C29,1.8463,0.0915,0.0221,0.028,0.0027,0.9907,0.0923,0.0137,0.0709,0.2002,0.1122,0.2408,0.0905,0.1238,0.134,0.3198,0.0584,0.1085,0.0421,0.3159,0.0044,0.129,0.4176,0.8142,1.2992,1.3741,1.0973,0.2163,0.4232,2.5883,0.2064,1.1994,0.097,0.2801,0.498,0.0664,0.0416,0.334,0.2785,1.2439,0.4073,0.6756,0.2073,0.913,0.0
GRC_C30,0.0,2.2087,0.0774,0.0927,0.0002,1.157,0.1326,0.0067,0.066,0.0013,0.0753,0.2368,0.0765,0.1727,0.4104,0.2555,0.0194,0.0567,0.0176,0.0226,0.1726,0.5594,0.0636,0.0089,0.0564,0.145,2.9906,4.0064,0.1381,0.3885,0.064,1.7514,0.0128,0.0092,0.0024,0.0,0.0,0.0169,0.3293,0.1172,0.006,0.0941,0.0,0.4546,0.0
