V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T
IDN_A01_02,5435.4967,9.9729,1.2982,0.8995,0.078,47451.1461,1520.8051,3456.1869,916.6948,16.453,1333.2553,211.8109,4065.5584,75.096,0.0044,85.3421,2.7879,0.0465,298.8754,0.0029,88.4664,602.7519,1.323,5.6528,3685.7644,196.544,0.3757,81.0875,257.1746,0.9405,0.0041,7257.5469,0.1359,0.0176,0.0878,11.4781,3.1419,0.2462,7.0342,407.8193,22.4483,284.6828,90.5553,222.4907,0.0
IDN_A03,1.3349,793.5811,0.0,0.0,0.0,3619.5608,0.4602,0.493,0.0,0.0,274.5152,4.3561,0.0,0.0,0.0,0.0184,0.0,0.0,0.0,0.0,0.0,357.6487,0.0,22.3047,0.0,0.0,0.0,60.4407,0.0,0.0,0.0,4170.4094,0.0,0.0,12.4887,0.0,0.0,14.6456,1.0089,22.0208,44.3312,166.8775,65.7506,17.7479,0.0
IDN_B05_06,0.078,0.0,1991.957,13.3632,0.4744,18.8607,99.3935,2.1794,261.3812,12407.0313,5442.9139,0.2062,37.7228,2867.5633,302.878,247.847,0.317,0.5402,42.5935,2.6791,0.2445,48.2816,9110.6638,0.0,0.9081,0.0,0.1589,0.0,0.0,0.0878,0.0,0.3929,0.0302,0.0,0.0,0.0,0.0038,9.6516,0.3011,0.0,0.0,0.0,0.0,0.0,0.0
IDN_B07_08,0.0757,0.6117,0.5448,90.0431,120.1034,46.2112,1.25,15.7813,0.1553,1042.385,1025.5345,14.5091,24.7527,2255.9142,5052.6743,1615.3991,17.1383,2.5127,26.235,2.2304,13.4771,332.2181,0.1244,4.1457,9545.4207,0.2713,0.0,0.0,0.0,0.01,0.0,0.0244,0.0,0.0,0.6822,0.0,0.0,2.9187,0.0555,3.5648,93.7565,0.0022,0.0005,0.0048,0.0
IDN_B09,0.0,0.0,2783.6709,495.3089,22.8346,0.1152,0.0068,0.0,0.0,8.7977,40.1891,0.0,4.4538,43.5836,29.8883,4.7635,2.1023,15.9783,0.0,0.0519,0.031,21.6426,15.7836,0.0,197.5583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684,0.0,0.0,150.8561,0.761,0.0,0.0,0.0,0.0,0.0,0.0
IDN_C10T12,3984.8319,778.1055,86.1636,55.7249,2.8021,16633.4363,766.7428,57.6491,33.8757,14.7915,3751.2823,18.5756,5.2369,79.1975,2.5902,52.4122,8.5757,5.9458,667.6862,0.0406,0.5301,105.6051,22.8925,73.1005,10.7494,469.0768,321.3977,327.6476,439.2429,151.6159,34.408,16667.2779,92.6713,26.0252,20.9045,237.0026,152.704,11.7021,528.6344,376.4263,246.2673,1044.5549,120.6502,9.6889,0.0
IDN_C13T15,76.0445,27.3295,7.406,9.7273,1.0687,43.462,9203.6316,111.3262,46.2044,6.8278,43.0291,12.6636,37.8803,33.1066,15.2609,39.7891,5.8348,64.2241,71.3806,25.3872,50.8399,648.9873,0.8471,10.5822,262.4121,1606.9015,146.3508,37.4499,207.9703,45.7359,59.9642,51.3994,54.9338,8.5094,0.7119,36.1921,50.7916,0.2962,359.8288,209.071,211.2725,79.1928,13.1719,169.0786,0.0
IDN_C16,15.7905,4.0181,0.0046,31.7641,7.7313,21.3723,4.0397,1041.5651,55.2261,33.4815,17.2688,0.0933,6.8791,7.0143,0.7796,57.013,0.4211,1.5172,4.1078,3.3367,86.0047,1583.6984,0.0001,2.5081,5950.9502,680.4375,1.1827,0.0,0.1024,11.3847,0.3438,6.8773,0.2121,0.1959,0.0573,0.0,0.7693,0.1061,6.1662,128.6105,0.6354,0.3082,0.5229,8.7537,0.0
IDN_C17_18,18.8213,0.4685,7.8234,7.8456,3.9483,460.4447,52.9596,8.8694,3415.6153,23.0905,116.4173,17.5043,32.7052,103.3241,12.7076,16.2454,131.5081,41.1311,54.6184,2.2351,11.862,131.9568,5.5888,38.0433,144.293,3846.8859,236.0498,87.0636,262.0682,187.9145,37.6969,24.496,322.9769,20.3072,1.8547,663.768,255.0036,49.7647,786.9897,626.2744,752.2375,39.0346,1.4153,1.6988,0.0
IDN_C19,204.1196,186.0975,525.8622,175.3967,51.477,174.9895,106.7004,67.1486,38.5258,1082.7389,533.551,15.8658,79.865,524.8987,94.0468,233.7008,15.957,81.4791,157.8557,28.105,156.4134,153.4509,964.3146,126.6746,5024.9105,8082.858,4806.2946,1237.0609,6226.0431,101.46,118.3579,117.1876,79.627,69.2138,49.3496,51.9699,291.6246,6.4377,684.6139,432.7685,83.163,75.7287,7.5334,79.6822,0.0
IDN_C20,2504.9232,14.5089,195.0073,224.5673,50.3809,1181.1564,1213.2814,482.4182,1081.4652,381.3719,5050.0089,125.1778,3169.9562,642.6993,98.3829,202.7452,777.7105,1810.2104,1096.7156,89.6561,223.7414,1114.4281,36.4786,372.364,842.8282,1692.3325,136.0602,38.8338,241.0015,68.5025,2.9579,59.0639,168.746,16.4926,15.1636,108.1983,94.3135,6.8092,397.968,161.6228,191.3154,250.2711,12.7931,15.5823,0.0
IDN_C21,84.0944,7.0129,0.9816,11.5113,0.3542,14.8215,0.8403,1.8195,27.0775,2.9444,33.1807,52.3158,3.953,1.3181,0.2481,11.4749,30.9789,5.5415,0.3034,1.8555,0.0871,10.9366,0.2451,10.6006,0.0139,27.8297,88.598,23.0203,26.5348,64.6162,0.3208,1.6488,0.8867,1.5476,2.4852,11.2747,0.3523,0.5429,34.8202,32.5791,25.8443,864.0062,0.3886,0.6255,0.0
IDN_C22,70.4162,6.061,64.1717,35.0584,3.9875,227.9861,335.4804,78.3498,101.3433,4.0095,156.6249,27.9995,1016.1952,202.7931,18.4677,205.9902,268.4786,189.5618,389.1844,443.1391,758.5613,929.0906,5.9625,27.4353,1795.8362,3924.3973,446.6301,64.3554,324.1902,104.613,43.9817,59.3818,32.6213,23.1614,0.6533,269.483,143.765,5.1423,330.7274,72.5655,65.5446,20.4282,5.0116,15.0596,0.0
