V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_A01_02,278.9956,33.4445,0.0905,0.2653,0.001,1849.7315,0.1106,145.8959,0.0465,0.2704,6.385,10.8502,0.4034,0.3588,0.0551,0.1059,0.4905,0.0224,0.2266,0.0337,0.0997,0.6485,3.5025,0.5608,29.8579,44.8489,0.2855,0.1898,0.0608,0.1443,0.1131,1.4829,0.319,0.5313,0.3222,0.8602,0.885,1.7819,0.5729,1.1399,0.2408,16.8242,0.9775,0.2128,0.0
IRL_A03,0.0,98.2643,0.0002,0.0001,0.0,10.7541,0.0,0.0,0.0,0.0,0.0027,0.0171,0.0003,0.0003,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,1.7798,0.0,0.0,0.0,0.0202,0.0,0.0939,0.0,0.0,0.0,0.0067,0.0004,0.0,0.0,0.0027,0.0036,0.0,0.0,0.0001,0.0,0.0452,0.0,0.0001,0.0
IRL_B05_06,0.009,0.0,0.4637,0.4204,0.0006,4.3017,0.0299,0.0678,0.056,111.8079,0.2204,0.0183,0.1143,0.9744,2.5146,0.1112,0.9095,0.018,0.0194,0.003,0.0008,0.0148,5.6459,0.0225,2.1628,1.0278,0.2469,0.0055,0.0002,0.0169,0.0083,0.0452,0.0212,0.0363,0.094,0.0013,0.005,0.0313,0.0467,4.0953,0.0603,2.9193,0.035,0.3173,0.0
IRL_B07_08,92.2909,0.0277,0.0216,44.4799,0.1015,21.8831,0.0086,0.0114,0.0359,0.2125,2.8386,1.2774,0.3005,9.6105,28.877,0.173,0.3303,0.0729,0.1332,0.0097,3.1906,10.0119,0.0742,0.4503,195.9132,6.2463,0.2731,0.0117,0.1023,0.2117,0.1078,0.6183,0.2678,0.5744,0.0964,0.2946,0.1423,1.5375,0.3298,1.3793,0.1858,0.8764,0.48,1.5331,0.0
IRL_B09,0.012,0.0278,0.1942,0.2659,0.0109,0.0287,0.0,0.0002,0.0015,15.5068,0.1223,0.0353,0.0023,0.0387,0.0485,0.0082,0.0003,0.0002,0.0028,0.0,0.0011,0.0008,0.0432,0.0068,0.4431,0.0029,0.0091,0.0007,0.0174,0.0065,0.0009,0.0004,0.0003,0.0,0.0001,0.0036,0.0101,0.0123,0.0151,0.0042,0.0006,0.001,0.0008,0.0025,0.0
IRL_C10T12,1355.1396,28.3223,0.3102,5.4377,0.0246,6489.6696,7.5592,9.8983,7.228,3.4588,85.4119,713.4584,32.2299,4.8548,15.1641,3.5965,39.3049,0.3177,1.8919,1.9502,0.7855,8.1137,47.5222,5.5025,60.2589,851.8288,47.9623,5.8198,12.9319,21.4941,19.47,468.5112,298.9864,6.9145,47.234,17.2192,25.2385,24.1273,59.9659,70.1889,10.8663,147.9147,53.8486,53.6929,0.0
IRL_C13T15,0.1388,0.0979,0.0064,0.0846,0.0018,0.1319,3.9806,0.064,0.1062,0.0867,1.5889,2.9901,0.101,0.066,0.007,0.0238,1.1439,0.0125,0.0392,0.0134,0.0099,7.9847,0.0259,0.11,8.9226,80.4399,0.1114,0.006,0.3544,0.0576,0.2072,0.6827,0.4629,0.2679,2.6035,0.4041,0.4504,10.0037,3.9198,4.1854,0.0516,4.3294,0.1931,0.5622,0.0
IRL_C16,0.2369,0.0067,0.0092,0.011,0.0013,1.5346,0.0189,6.5481,0.1149,0.4102,0.0893,0.3502,2.5462,0.1093,0.0455,0.0464,0.3306,0.0203,0.1587,0.0433,0.0126,14.0249,1.9692,0.9867,97.5406,1.1433,0.0673,0.0088,0.1072,0.0158,0.0664,0.0353,1.4188,0.4529,1.248,0.7846,0.9577,0.991,2.5339,3.1748,0.1553,0.6936,0.037,0.6043,0.0
IRL_C17_18,1.423,0.0698,0.005,0.0185,0.0053,14.7033,0.1569,0.404,8.58,0.546,4.7248,7.9888,0.9334,0.2731,0.2039,0.4986,3.1054,0.2839,0.4625,0.1503,0.1284,11.0703,0.1638,1.0064,13.1768,121.0153,2.2019,0.1555,1.634,0.7529,2.06,3.0232,373.3791,3.5931,40.9459,45.7145,0.9206,66.9011,15.4105,3.9792,19.9307,44.4904,3.5256,5.6172,0.0
IRL_C19,65.2585,13.4062,0.62,6.2182,0.118,31.9007,0.0807,3.2611,1.0311,841.8704,17.5416,460.6858,21.167,15.0123,6.2215,56.586,878.6682,43.6793,296.1849,11.829,27.6695,308.6022,6.2854,7.9375,210.7131,201.4476,46.7269,2.2519,208.2344,6.6133,12.8568,4.418,35.412,62.0825,70.973,19.4343,2.9324,61.977,150.5222,69.9074,10.8501,469.5782,7.3423,11.4327,0.0
