V1,JOR_A01_02,JOR_A03,JOR_B05_06,JOR_B07_08,JOR_B09,JOR_C10T12,JOR_C13T15,JOR_C16,JOR_C17_18,JOR_C19,JOR_C20,JOR_C21,JOR_C22,JOR_C23,JOR_C24,JOR_C25,JOR_C26,JOR_C27,JOR_C28,JOR_C29,JOR_C30,JOR_C31T33,JOR_D,JOR_E,JOR_F,JOR_G,JOR_H49,JOR_H50,JOR_H51,JOR_H52,JOR_H53,JOR_I,JOR_J58T60,JOR_J61,JOR_J62_63,JOR_K,JOR_L,JOR_M,JOR_N,JOR_O,JOR_P,JOR_Q,JOR_R,JOR_S,JOR_T
JOR_A01_02,254.2122,0.3156,0.0003,0.0005,0.0002,1084.9839,0.2215,39.3661,0.0278,1.5799,11.6889,0.0946,3.3993,0.235,0.0108,0.039,0.0,0.0002,0.0295,0.0196,0.0075,1.7852,0.2176,0.3157,0.5677,2.352,0.0164,0.0,0.0,0.0329,0.0001,97.2656,0.0666,0.0008,0.0235,0.0279,0.4112,0.0075,0.0212,10.3198,0.0005,0.4367,1.2397,1.0013,0.0
JOR_A03,0.0,0.1518,0.0,0.0,0.0,0.4665,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0011,0.0,0.0,0.0,0.0,0.0,0.9928,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0003,0.0
JOR_B05_06,0.0009,0.0,0.8024,0.0119,0.0027,2.0197,0.0009,0.005,0.1207,392.1043,0.027,0.1136,0.0135,6.7752,0.1625,0.1445,0.0003,0.0017,0.0003,1.6359,0.364,1.7092,61.8911,0.1922,0.5038,21.1693,8.2791,0.022,0.8319,0.0784,0.0006,0.0661,0.6432,0.9036,0.1742,2.4337,0.0186,0.0002,0.0092,0.0001,0.0065,1.1851,0.0457,0.0418,0.0
JOR_B07_08,0.0074,0.0,0.1159,0.8027,0.0726,44.2415,0.0174,0.1081,0.0025,0.0,12.891,2.5224,0.146,146.6515,0.0056,0.0041,0.0007,0.0041,0.0009,0.0005,0.0001,0.0018,0.0,0.1813,89.383,0.0259,0.0129,0.0,0.0,1.6065,0.002,0.0013,0.0,0.0001,0.0024,0.0,0.1372,0.0041,0.0086,1.5078,0.1113,0.0,0.3013,0.3959,0.0
JOR_B09,0.0,0.0,58.5886,0.2343,12.0194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.1343,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR_C10T12,478.0788,1.124,2.106,2.9431,0.6252,1624.6771,1.8185,0.1056,2.9768,1.1683,9.4153,1.5326,1.02,0.7309,0.6703,21.7566,0.253,0.9396,0.3684,0.2048,0.2487,9.1355,1.0348,2.5342,7.9197,7.4897,0.435,0.0091,0.2189,0.5266,0.0106,195.4013,0.6711,1.3946,0.2313,0.4706,2.3997,0.1942,0.1574,29.1964,4.313,31.3667,10.5485,0.9878,0.0
JOR_C13T15,1.6322,0.0041,8.9283,17.5643,2.7744,0.9508,506.2557,0.1013,2.1822,1.0998,1.4234,3.3692,4.4747,0.1316,0.0393,0.0549,0.1739,0.5832,0.1972,0.46,0.0432,1.0859,0.0262,0.6366,1.6947,4.4287,0.0467,0.0027,1.2142,0.3448,0.0089,3.5126,0.0339,0.0164,0.0349,0.0594,0.1721,0.1438,1.0345,26.2211,4.1998,12.8156,1.1777,0.1742,0.0
JOR_C16,1.3311,0.0,0.005,0.0092,0.0023,0.2235,4.1843,0.6812,5.9502,0.0053,0.4223,0.0285,0.154,0.9881,0.0439,0.465,2.2704,8.8085,2.8475,2.44,0.757,17.7769,0.006,0.1189,35.8286,1.2129,0.0155,0.0097,0.0024,0.003,0.0002,0.166,0.0671,0.07,0.0187,0.0385,0.0055,0.0928,0.1072,1.21,0.8283,0.144,0.1949,0.0641,0.0
JOR_C17_18,2.5779,0.0015,0.022,0.0138,0.0023,13.5157,1.4247,0.2081,279.1748,0.1471,8.4623,9.6827,14.9751,7.2756,2.8443,6.7665,0.3257,1.13,0.2156,0.1977,0.0268,0.5223,0.2904,2.5255,5.3648,13.3336,0.4942,0.005,0.5459,0.6265,0.1041,20.552,1.0057,0.6676,0.1375,17.3459,1.2612,7.3451,0.8827,61.224,38.4261,7.9153,1.121,0.9233,0.0
JOR_C19,71.593,0.3625,2.8942,0.7585,0.0637,181.6634,19.9194,2.2749,14.2663,147.0219,65.959,9.5467,12.3125,68.7287,9.6746,23.0008,2.1006,9.7994,2.9499,2.0402,0.3782,5.8853,153.2499,16.965,149.0175,103.2849,498.7097,0.1143,199.3887,2.937,0.5724,36.089,4.06,13.427,2.3012,8.0319,5.0469,2.9817,5.015,136.3231,81.911,42.5939,7.3218,9.5382,0.0
