V1,KOR_A01_02,KOR_A03,KOR_B05_06,KOR_B07_08,KOR_B09,KOR_C10T12,KOR_C13T15,KOR_C16,KOR_C17_18,KOR_C19,KOR_C20,KOR_C21,KOR_C22,KOR_C23,KOR_C24,KOR_C25,KOR_C26,KOR_C27,KOR_C28,KOR_C29,KOR_C30,KOR_C31T33,KOR_D,KOR_E,KOR_F,KOR_G,KOR_H49,KOR_H50,KOR_H51,KOR_H52,KOR_H53,KOR_I,KOR_J58T60,KOR_J61,KOR_J62_63,KOR_K,KOR_L,KOR_M,KOR_N,KOR_O,KOR_P,KOR_Q,KOR_R,KOR_S,KOR_T
KOR_A01_02,2303.6027,87.6051,0.3492,3.3718,0.0025,21116.8208,393.0331,514.3302,10.7343,8.9761,124.0261,218.1858,411.9799,9.821,27.1752,24.8073,55.1914,24.0963,34.6912,24.8167,26.1388,21.4693,5.7942,3.5507,312.4665,95.0437,3.3615,0.9809,7.9027,11.4477,0.7604,4366.1738,11.0024,5.0995,2.8803,29.1865,4.4289,136.6571,11.4855,203.6864,308.7219,888.5181,93.1653,45.2862,0.0
KOR_A03,5.2928,140.34,0.0093,0.1629,0.0,1593.3221,4.7749,0.3195,0.9669,0.5125,6.381,2.2719,3.0253,1.0371,3.0982,3.0867,7.3701,3.2972,4.3114,3.0085,3.6364,5.9627,0.5093,0.4768,2.5399,9.3527,0.5336,0.0984,0.2141,0.3868,0.0453,2068.9486,1.0367,0.7682,0.4622,1.6522,1.3079,16.6638,1.166,64.6736,150.4835,163.1234,14.6658,5.0566,0.0
KOR_B05_06,0.0428,0.0277,0.0043,0.0494,0.0005,0.9631,3.0087,0.1224,0.3166,67.5686,4.8474,0.1994,0.8085,2.5295,55.1512,1.0938,1.748,0.7907,1.461,0.8336,1.0047,0.2895,161.236,0.307,0.1805,0.2196,0.0211,0.0008,0.0008,0.0184,0.0029,0.013,0.0213,0.0295,0.0142,0.0403,0.0229,0.2205,0.1472,0.0793,0.0927,0.6953,0.02,0.0118,0.0
KOR_B07_08,0.9201,0.2831,0.0055,3.4958,0.1381,18.8233,6.0482,0.3296,16.2255,20.8153,434.2528,4.1742,22.4057,1741.1717,605.33,17.1025,20.6751,8.7552,11.2327,9.2772,2.2631,4.3548,2.5933,5.4321,191.1756,3.624,0.2824,0.2031,0.1784,0.2762,0.0307,5.1406,0.2019,1.3028,0.1,0.2848,0.3181,5.0813,2.8463,4.4864,0.7156,5.7441,0.9989,1.6731,0.0
KOR_B09,0.0188,0.034,0.011,0.2614,0.0057,0.0112,0.001,0.0004,0.0295,6.7816,0.3913,0.0034,0.0164,0.2786,0.6901,0.0886,0.0009,0.0032,0.0094,0.0006,0.0003,0.0011,0.2406,0.0087,0.7954,0.0048,0.0497,0.0085,0.0131,0.0287,0.0001,0.0038,0.0011,0.0,0.0,0.0016,0.0278,0.0671,0.0206,0.0125,0.0028,0.0021,0.002,0.0012,0.0
KOR_C10T12,5487.1438,299.1496,0.7272,9.9284,0.0307,14337.8867,855.6911,24.0345,90.3987,98.561,787.6766,198.3066,171.7109,68.5413,208.1888,209.7162,353.1479,159.7813,281.1182,184.6045,162.8392,65.1647,51.442,19.666,135.5151,1052.2132,27.2898,27.614,32.7256,105.9804,6.4069,27247.5998,84.9312,41.551,36.9421,203.4532,22.9936,872.9866,207.8025,636.9394,1456.049,2003.393,1168.6841,290.7336,0.0
KOR_C13T15,144.7053,368.1584,1.6582,16.9009,0.0729,425.2254,12846.9078,60.3375,365.4368,146.8604,379.8787,105.5692,1309.6219,223.393,519.5206,604.7716,930.3981,443.6542,615.6074,986.8302,519.5817,1080.2634,132.196,96.0853,356.0533,1734.8063,312.3805,33.131,3.4645,615.1173,53.8554,749.5428,117.0472,58.6461,22.6224,340.2989,82.1417,563.5479,554.9332,793.724,243.8114,1011.8096,388.7668,615.9544,0.0
KOR_C16,34.895,136.7533,0.5556,2.2706,0.0137,69.2645,46.6775,969.6617,37.3853,17.5323,38.8542,4.5552,32.6325,77.3093,104.459,142.7749,46.1846,58.3199,100.6705,68.5419,26.2306,809.3841,204.7591,5.7423,2726.3201,174.4431,4.7792,1.4206,0.1623,376.8192,1.1565,146.3773,3.4194,2.6936,1.598,1.9139,1.359,10.2046,21.8718,3.8275,29.9397,42.8758,18.6584,18.8087,0.0
KOR_C17_18,250.6008,17.0067,0.3248,6.6666,0.0351,1760.1591,609.8451,89.8293,8096.5485,163.024,698.0329,274.2533,425.9149,252.5537,189.5489,439.6646,458.5194,515.2762,270.0925,198.3061,80.4592,258.0355,33.9117,33.7814,394.2679,3063.4316,43.7976,17.3521,4.1412,272.6043,150.607,561.9563,1112.8627,110.9196,204.1451,1214.3553,89.5301,2697.1648,292.0864,653.1947,592.8669,550.6993,316.5498,405.7609,0.0
KOR_C19,453.8379,421.5094,0.5109,83.5778,0.661,262.0441,397.9964,44.7348,200.8529,10259.0329,13296.3045,158.0974,1361.1273,1050.2593,513.2863,549.1281,822.6264,430.3262,327.4431,437.2592,289.9053,113.831,2259.0016,194.8125,1220.0542,3921.5539,6133.0197,1171.387,2978.6537,322.27,568.9215,979.3701,129.6389,82.3478,61.7622,210.5292,324.3443,1728.938,380.5685,1165.1904,1037.7259,1345.3657,270.4388,586.2973,0.0
