V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T
LAO_A01_02,112.7068,0.4555,0.2414,0.3413,0.0474,484.6023,0.7935,89.8419,9.5973,0.3281,0.8526,0.1625,0.4112,0.0016,0.0013,0.0047,0.0032,0.0029,0.0001,0.0005,0.0003,12.9456,0.0306,1.2932,3.6303,2.1927,0.0001,0.0,0.0001,0.0,0.0011,22.5438,0.4512,0.0048,0.0062,0.0001,0.0003,0.0288,0.0123,0.0004,1.5127,0.0,0.0395,0.1716,0.0
LAO_A03,61.4586,26.3525,0.0524,0.0919,0.0178,42.0894,0.1519,4.3246,1.7996,0.0952,0.1732,0.0568,0.0233,0.0003,0.0004,0.0013,0.0011,0.001,0.0,0.0002,0.0002,2.9926,0.0081,0.4781,0.9299,0.6862,0.0,0.0,0.0001,0.0,0.0007,17.0343,0.3923,0.0029,0.0036,0.0001,0.0002,0.014,0.0044,0.0001,0.6788,0.0,0.0236,0.0715,0.0
LAO_B05_06,0.3573,0.0135,141.738,100.2564,22.7941,15.2624,1.2439,0.6973,0.0675,59.7655,12.7321,0.1157,3.6511,52.3144,0.5135,0.6811,0.8778,1.0775,0.0508,0.1912,0.2291,31.614,193.344,13.1534,148.7909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3107,0.0,0.0728,0.0,0.0,0.3059,0.0867,0.0,0.0,0.0,2.2447,2.4286,0.0
LAO_B07_08,0.2673,0.0079,44.3599,155.9803,14.5684,6.3766,0.4666,0.2958,0.0287,2.0684,5.6963,0.2657,1.7557,57.5375,0.4555,0.5098,0.4842,0.7588,0.0278,0.0943,0.0707,0.3842,41.4561,6.1487,227.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9404,0.0,0.0227,0.0,0.0,0.1417,0.067,0.0,0.0,0.0,0.7789,1.1568,0.0
LAO_B09,0.2073,0.0118,118.0443,67.6017,33.8159,3.5786,0.0703,0.3821,0.0135,2.6169,1.7701,0.0339,0.9305,4.6959,0.1456,0.2338,0.0426,0.076,0.0159,0.0447,0.0739,0.0,18.9957,2.3558,38.0522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6864,0.0,0.0032,0.0,0.0,0.1142,0.0158,0.0,0.0,0.0,0.4056,0.3546,0.0
LAO_C10T12,43.0213,1.312,0.374,0.7018,0.0442,144.3651,0.0678,0.0897,0.0111,0.0964,0.2304,0.0317,0.1067,0.0301,0.0013,0.004,0.0,0.0,0.0,0.0003,0.0003,0.1427,0.0246,0.0457,0.0502,0.7938,0.0496,0.0025,0.0015,0.0003,0.0008,84.3044,0.003,0.0036,0.0184,0.0099,0.0069,0.0832,0.0171,0.0378,0.4635,0.0746,0.0029,0.0555,0.0
LAO_C13T15,10.0257,0.6778,0.1967,0.2812,0.05,0.5569,72.1102,1.6123,0.3029,0.0223,0.0643,0.0117,0.0237,0.0458,0.0021,0.0087,0.0063,0.0053,0.0001,0.0022,0.0013,1.8921,0.4709,0.8878,2.8991,3.9909,0.1459,0.0066,0.0022,0.002,0.0169,6.0454,0.6896,0.0458,0.3106,0.0004,0.0012,1.0634,0.4755,5.7027,0.2714,0.133,0.4897,1.0959,0.0
LAO_C16,4.1568,0.0722,0.0396,0.067,0.0102,18.5403,2.0133,43.2841,8.8872,0.7645,2.789,0.2017,0.8581,0.5967,0.0153,0.0844,0.0223,0.0338,0.0005,0.0099,0.0045,14.1291,0.794,3.0202,37.7584,27.1909,0.6274,0.0227,0.007,0.0146,4.682,6.4341,1.067,18.4085,0.4599,9.3571,0.002,2.5655,0.929,55.953,3.3074,0.5601,1.008,3.2499,0.0
LAO_C17_18,0.0699,0.0024,0.0008,0.0017,0.0002,0.3515,0.0364,0.7165,0.1455,0.01,0.038,0.0086,0.0172,0.012,0.0001,0.0008,0.0035,0.0035,0.0,0.0001,0.0001,0.206,0.0111,0.0643,0.6038,0.4149,0.0098,0.0007,0.0003,0.0007,0.0603,0.1086,0.0363,0.2654,0.0124,0.128,0.0021,0.0542,0.0115,0.7691,0.0434,0.0089,0.0158,0.0295,0.0
LAO_C19,8.0691,0.3282,2.7428,6.03,0.5654,3.0847,0.4129,0.4991,0.0855,0.5103,1.4873,0.0667,0.4566,0.465,0.2316,0.4207,0.1237,0.2083,0.0013,0.06,0.0392,0.2339,3.2222,0.652,14.6883,8.5476,3.2065,7.8787,1.8863,2.8646,0.0727,1.832,0.1621,0.1771,0.0402,0.9415,0.1197,0.3604,0.5828,7.2127,0.3799,0.7229,0.1421,0.4493,0.0
