V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T
LUX_A01_02,48.5906,0,0,0.0062,0,116.2239,0.5586,2.8819,0.2165,0,2.2867,0.2406,13.0229,0.2965,0.8702,0.2771,0.0411,0.0325,0.3715,0.0398,0.0088,0.1381,2.4297,0.0397,3.5283,0.9918,0.5173,0.0221,0.3854,0.0887,0.0266,3.1884,0.0383,0.1121,1.1494,0.6455,1.1041,1.3826,0.5524,0.7613,0.0931,1.5317,0.4191,0.4898,0.0
LUX_A03,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B05_06,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B07_08,0.0667,0,0,0.349,0,0.0668,0.188,0.0,0.0447,0,1.5963,0.0425,0.7631,41.2504,34.227,0.3716,0.0129,0.0284,0.1377,0.0094,0.0024,0.0263,0.4367,0.2471,11.1692,0.0,0.5434,0.0016,0.0033,0.022,0.0006,0.011,0.0,0.0,0.0,0.0,0.3659,0.045,0.0191,0.0049,0.0002,0.0,0.0,0.001,0.0
LUX_B09,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C10T12,16.5597,0,0,0.0453,0,64.6022,0.133,0.0059,0.6561,0,18.8945,2.661,6.608,1.2591,2.8815,0.9656,0.0947,0.062,1.1691,0.0888,0.0182,0.2334,0.1482,0.0462,2.1379,0.2185,0.0236,0.4641,7.1499,0.5689,0.2045,160.2489,0.0355,0.0969,0.0,0.0033,3.856,6.8604,5.2138,1.9842,0.2695,42.945,1.5985,0.4793,0.0
LUX_C13T15,1.1283,0,0,0.0228,0,1.1329,132.5137,0.0594,0.5684,0,0.6645,0.2855,37.3322,2.4484,3.8248,1.7026,0.2066,0.1282,2.393,1.2593,0.1365,2.1314,0.0578,0.1088,7.5786,5.8673,0.6547,0.0638,2.2798,0.286,0.2934,0.3384,0.0468,0.0033,0.3006,0.0137,0.7644,3.0114,5.0728,0.9988,0.0246,3.05,0.3366,1.0069,0.0
LUX_C16,0.2881,0,0,0.021,0,2.366,1.0595,35.8682,1.67,0,0.9267,0.0527,18.2724,7.9743,15.0173,7.1573,0.171,0.4397,4.0674,0.7308,0.4301,7.5073,0.1114,0.6655,105.0602,4.166,0.2335,0.0237,0.1857,0.4347,0.0783,0.3196,0.0736,0.3111,3.7908,0.5276,8.2718,7.3892,2.0768,2.8523,5.0968,0.501,0.0576,0.2676,0.0
LUX_C17_18,0.0086,0,0,0.0072,0,3.7431,0.2833,0.1468,13.4947,0,1.2422,0.5594,15.2444,2.8325,2.7259,1.5157,0.4462,0.2219,2.0523,0.1468,0.0322,0.335,0.047,0.0303,0.8558,32.1794,0.3716,0.0354,1.1332,0.4959,0.9806,0.1026,1.2117,0.0942,62.9876,2.46,2.7839,6.1333,9.5582,0.5187,0.0654,0.4,0.0414,0.2591,0.0
LUX_C19,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C20,1.6945,0,0,0.0089,0,0.9974,8.4385,3.3566,0.9488,0,16.0611,0.9367,155.8875,4.7511,9.8317,2.6539,0.2798,0.4975,2.1721,0.339,0.0856,0.4114,0.0582,0.1663,2.9567,2.0052,0.0715,0.0115,0.3253,0.0851,0.0208,0.0933,0.0869,0.0103,2.0359,0.2339,0.8826,1.1678,1.031,0.1975,0.0234,0.8467,0.0468,0.2346,0.0
LUX_C21,0.3685,0,0,0.0,0,0.4473,0.0,0.0004,0.0255,0,0.6344,6.6662,2.2612,0.0879,0.997,0.0991,0.0197,0.0123,0.3655,0.0047,0.0016,0.0386,0.0014,0.0,0.0033,0.5884,0.0,0.0048,0.105,0.0123,0.0144,0.0273,0.0017,0.0011,0.1443,0.0,0.0234,2.0781,0.1486,0.0,0.0074,34.69,0.0179,0.1767,0.0
