V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_A01_02,295.1285,3.3646,0.7987,0.2755,0.5305,2068.5753,13.9657,255.1553,127.1116,0.243,19.5989,0.1421,0.7756,0.4078,0.3878,0.762,0.5261,0.5035,0.544,0.1621,0.5158,1.3382,2.3254,1.0237,82.1861,33.9295,1.5278,1.137,0.7119,3.3651,0.4323,67.0542,4.8248,1.8633,6.0428,4.1917,2.5507,13.798,21.1924,71.5764,9.3046,45.4152,3.393,3.4053,0.0
NOR_A03,4.6772,1676.3115,1.1347,0.3485,0.2517,3835.2112,0.4851,1.3736,0.3205,0.0102,0.6557,0.6574,0.2699,0.6214,0.3224,0.8426,0.5333,0.6052,0.6069,0.1654,0.3601,1.3515,1.8409,0.7131,1.9266,9.6479,0.3315,11.4681,0.2685,2.9352,0.1634,107.8102,4.4425,0.768,4.9357,3.2655,1.0477,5.3439,3.4561,9.7764,7.4407,64.9453,1.3374,0.2276,0.0
NOR_B05_06,49.824,76.535,551.622,76.2326,212.8184,187.3314,2.0166,8.1318,13.9108,4841.8354,980.6608,197.1892,23.5243,234.2223,631.7707,17.6467,9.1208,5.3613,170.0031,6.2069,1026.8233,94.936,776.5493,89.864,295.3576,258.5537,447.419,949.3395,246.1672,169.7585,20.8391,27.322,25.3179,11.6311,37.0313,17.1707,98.122,92.4326,149.7483,66.0762,24.8986,93.2787,45.5072,14.3128,0.0
NOR_B07_08,6.8632,5.0815,10.5291,20.2661,70.1085,8.5945,0.2967,8.8761,2.4351,0.4824,25.9615,20.1932,2.1176,181.6529,15.5789,3.351,0.8597,0.7516,6.6712,0.3705,28.504,4.2608,0.2754,2.9009,191.6581,6.5021,7.0944,6.4727,0.638,5.2004,0.3996,0.8169,0.6333,0.1855,1.0504,0.6069,4.0367,3.1944,4.6067,15.0422,0.6301,6.3637,4.9155,0.4937,0.0
NOR_B09,3.1778,105.6948,4517.5514,170.6426,3280.8529,3.6724,0.0199,0.4804,4.4931,352.2837,22.6722,0.4338,0.5882,46.871,91.6278,10.4848,0.0235,0.2178,0.8463,0.0088,0.0372,1.2349,30.4605,5.1657,425.3361,1.6788,21.4431,20.5052,6.8793,14.2312,0.076,0.5345,0.2343,0.0,0.0097,0.5069,19.0204,20.8219,9.0809,7.0157,1.1622,1.7206,0.6428,0.7059,0.0
NOR_C10T12,735.2276,1940.4649,6.498,2.4751,5.1167,5347.5538,10.8892,8.7725,1.446,0.6495,3.9582,3.2818,1.7483,3.1169,2.1053,6.1228,3.7851,3.9884,4.2699,1.0654,3.874,9.5965,11.68,3.6946,17.2692,44.4669,2.3824,59.2689,0.6377,16.9619,0.7599,1187.6916,25.6814,3.437,29.1808,18.1485,6.1292,28.7537,21.7386,93.1185,47.1158,403.4762,9.642,0.8457,0.0
NOR_C13T15,2.0662,13.3446,3.2557,0.8709,2.866,8.6492,32.3401,2.0929,0.9034,0.7028,2.3844,0.2771,2.3009,1.7166,3.9244,4.9875,1.6499,2.2477,5.2837,1.0321,4.6123,19.7415,1.7537,12.114,61.6235,18.8936,2.0253,2.3927,1.4738,4.5973,0.2591,5.2856,7.9574,1.0189,4.2878,0.944,6.2092,14.4919,9.5142,9.3515,5.6646,59.6314,22.1691,11.2682,0.0
NOR_C16,2.1634,6.1893,1.246,0.3776,3.3521,6.751,0.3883,476.8812,12.606,0.4685,8.5394,0.1217,0.8364,3.1679,1.3587,6.0474,0.9838,1.3929,3.0611,7.5571,3.3035,28.9609,5.0407,18.7615,1667.1512,58.9362,2.3929,4.3932,1.3767,3.9186,0.467,4.0728,3.3912,1.6806,3.4352,2.1966,477.2735,11.387,7.4992,4.5575,5.13,13.507,19.4238,8.6351,0.0
NOR_C17_18,9.1218,15.5038,1.9193,1.661,6.5564,42.1298,1.365,8.4047,199.2108,1.7714,11.3017,2.0342,6.4447,5.1319,4.1383,2.3653,2.333,5.0033,2.4154,1.3014,4.2393,5.7468,1.9898,17.413,47.2241,290.9527,6.4958,6.6195,2.616,7.4464,73.1759,17.846,130.1943,3.082,30.1289,27.3614,28.2338,185.8894,78.2259,65.4338,30.6877,37.1794,29.9996,29.8295,0.0
NOR_C19,69.4511,92.5519,34.4662,38.9911,111.0088,59.158,3.0094,9.1749,3.0054,22.8226,44.5998,13.2876,1.8827,71.9739,81.7971,9.2468,3.3185,4.9304,12.7463,1.6607,10.0446,20.2596,20.3888,47.7884,265.4247,189.7025,258.4939,1172.0852,291.9399,91.542,10.8762,28.0284,15.9584,13.786,23.0067,7.1152,32.1959,53.7088,44.9581,83.9159,31.3902,114.6723,23.5629,16.2759,0.0
