V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T
PAK_A01_02,23586.4768,274.3158,58.0673,5.9523,4.381,13805.4266,2263.1468,594.5251,195.4791,16.2577,288.9792,65.876,88.2948,25.1515,14.4644,12.3173,12.6513,7.9081,12.7985,16.5442,4.2605,124.0518,123.2661,28.2856,174.13,659.9261,58.6435,26.9685,21.2684,27.2412,3.709,2009.2853,24.5019,44.3972,11.2611,45.2266,46.518,77.3462,84.188,254.5044,113.9876,230.7223,56.5115,124.3747,0.0
PAK_A03,30.7067,436.1722,2.9307,0.2293,0.2231,330.8269,7.0208,0.7675,0.9098,0.8458,2.1664,0.9061,0.5577,0.7932,0.6378,0.4611,0.649,0.3807,0.6564,0.6754,0.1854,1.3926,1.9909,0.6537,2.8636,14.5872,2.5962,2.1062,1.1806,0.8735,0.1366,152.9696,1.243,2.0258,0.604,1.3759,0.9589,2.3717,1.2758,9.6267,3.3683,7.0009,1.5834,3.1435,0.0
PAK_B05_06,32.6855,3.1911,355.7174,10.8822,8.8396,27.702,28.5003,1.7977,16.6244,3928.8803,112.8646,6.4572,7.2822,70.1711,94.0287,6.984,2.7773,2.3945,4.548,3.7446,2.0359,5.3897,2529.0705,8.4487,32.019,41.0038,29.4125,6.3209,6.7879,7.2792,1.5543,8.2275,1.9322,4.2924,0.8858,3.2771,6.714,10.2242,4.2834,24.8553,15.128,12.5366,3.2381,8.1988,0.0
PAK_B07_08,13.7149,0.6417,8.7092,20.2349,2.958,2.9096,2.5223,0.1292,2.5935,2.8859,26.7716,1.2771,0.6973,170.9199,207.8781,4.1001,0.6208,1.798,0.7297,0.7228,0.2262,2.162,12.5957,3.0636,114.5346,2.5467,1.3172,0.2089,0.091,0.5822,0.0233,0.6054,0.0974,0.2318,0.0437,0.1551,2.1679,0.7581,0.6632,3.1533,0.4569,0.4226,0.2798,0.7181,0.0
PAK_B09,3.1669,3.1441,248.138,10.8175,15.1674,0.5243,0.3149,0.033,0.864,37.7379,3.2327,0.1408,0.1776,7.1296,5.0787,0.7759,0.0386,0.0461,0.0971,0.0534,0.0216,0.1011,8.8123,0.6044,10.9185,0.592,2.6045,0.3293,0.5287,0.8276,0.0178,0.1188,0.0737,0.1019,0.0288,0.1242,0.6942,0.8328,0.5285,0.6685,0.1586,0.1524,0.0767,0.1273,0.0
PAK_C10T12,2642.5547,176.4042,5.7274,1.1215,0.5632,1736.4373,156.0555,2.2797,20.582,4.8007,114.2031,33.826,10.609,7.626,5.0199,3.5827,4.121,2.7918,3.7398,4.0768,1.0531,11.1095,13.7586,8.9236,15.5714,176.6107,15.6915,16.1325,9.3104,6.705,1.0046,1758.4367,11.4946,11.7144,3.9541,15.6827,10.7236,21.7935,19.2819,140.7336,110.465,172.8152,32.8204,63.2524,0.0
PAK_C13T15,100.1305,19.4438,18.6539,2.0456,1.7052,43.3329,7295.0335,7.181,34.7413,6.6595,24.181,12.4786,31.7258,18.9106,10.2003,13.3403,14.631,9.391,15.0465,45.3634,6.7461,126.7201,23.2344,17.8354,59.1754,199.7469,28.9774,8.844,12.1165,10.3222,3.8331,37.0275,12.0939,16.0608,4.2672,13.7211,8.3043,40.1424,35.9072,153.1373,34.8124,126.4959,29.9108,106.99,0.0
PAK_C16,68.6183,4.4323,4.9257,1.6261,0.3702,23.3991,33.7493,372.0016,81.9565,0.6669,10.4631,1.5729,10.3893,30.8073,7.0642,17.3309,4.7283,8.8906,8.0142,20.851,8.2362,469.2326,31.6716,3.6013,513.4673,69.7999,6.5438,1.6297,0.6834,7.0096,0.4925,7.9904,3.8732,2.3422,0.915,2.0984,36.9834,10.5104,9.1662,10.3256,9.7905,7.1664,4.8701,36.3452,0.0
PAK_C17_18,80.0701,9.8861,5.407,1.6166,0.6665,230.0776,189.8501,15.8375,1128.6474,2.3203,59.682,43.339,41.0954,57.2876,8.5157,12.7516,27.054,19.2632,12.5455,15.5637,2.6168,73.961,18.1055,13.0707,26.6996,344.744,25.1853,5.7402,4.3214,21.0198,11.7428,37.8834,351.4123,41.5158,24.6511,97.2562,19.3357,134.2323,68.8409,190.0659,135.3688,83.533,25.6419,67.4014,0.0
PAK_C19,839.5398,191.9044,99.4314,30.6898,13.2709,67.7686,144.5727,13.3736,34.7372,346.4247,245.4597,21.0894,33.0698,129.4999,78.7125,19.3017,14.7094,18.1592,12.4901,22.535,5.3246,49.6513,297.4457,76.3934,178.7182,480.453,1445.1455,382.5893,532.8058,99.7631,25.1487,38.2746,17.4995,38.3044,8.9836,55.1634,26.2741,76.3821,69.5186,260.1741,59.8136,97.0279,23.8396,92.9761,0.0
