V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T
SAU_A01_02,2590.5221,55.1576,55.5318,0.0,14.0118,6771.3864,620.7274,3.8419,66.3909,0.0362,39.9686,1.5919,162.1356,0.0,0.0,0.0,0.0,0.0,0.0,0.2577,0.0,6.8521,8.4257,0.1858,5.6463,802.0408,0.0,0.6259,0.0,0.1418,0.4761,3222.7366,9.6201,3.6385,0.0029,0.74,50.8589,0.324,4.3318,0.1591,100.1102,184.0909,3.4314,1.8769,0.0
SAU_A03,62.4313,12.8699,0.0,0.0,0.0,1.8391,0.0,0.0,0.0,0.0,0.0512,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,9.4365,0.114,0.0,0.0,0.0,0.0,0.0,272.2429,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,7.9137,0.3443,12.5607,0.0,0.1977,0.0
SAU_B05_06,0.0,0.0,28.2405,0.3097,0.597,1569.0553,613.1191,105.7262,434.6631,19760.2823,6979.9879,265.3611,500.2618,702.3742,657.2029,491.7299,28.2789,481.1814,212.6747,69.567,40.0669,286.9575,693.5026,7.9281,27.3183,0.0,0.9935,0.0068,2.5187,1.5374,0.2582,5.7034,60.9677,188.3787,8.0646,0.0782,1.8948,2.7638,25.2666,8.9603,2.5027,15.0956,4.805,1.707,0.0
SAU_B07_08,0.0093,0.029,0.4243,8.8295,0.0154,5.1683,0.2033,0.0168,16.8323,0.0,211.2088,1.2848,0.9309,1014.7032,379.4947,16.7479,0.0,14.6323,0.0,0.0841,0.0,4.8287,27.9467,2.4188,1289.0936,22.2846,0.0,0.0,0.0,0.0011,0.0004,2.6234,0.3184,12.6809,0.3693,0.0081,4.6144,0.8502,0.3166,12.4608,2.5772,1.5578,2.418,0.3634,0.0
SAU_B09,4.057,2.0111,635.5676,9.0167,22.7177,143.7084,44.0331,6.3009,25.3639,0.0,0.0,0.0,30.4308,39.2895,37.5011,29.8711,2.1959,28.5881,14.0503,5.0115,1.5444,11.9743,31.9804,2.3092,6.6666,0.0,0.6351,0.0044,1.6101,0.9828,0.1651,5.9909,0.885,0.0,0.9415,0.0,0.0,0.0669,6.962,0.0,0.0,9.5799,0.4129,0.5514,0.0
SAU_C10T12,124.7438,68.829,20.8847,0.0,5.7642,663.1023,206.1049,0.0189,6.4552,0.0,12.4604,0.4509,0.0,0.0151,0.0,0.008,0.0025,0.0,0.0,0.0,0.0,0.0807,4.2672,4.431,8.6935,50.4692,0.5271,21.3185,259.863,0.0003,0.1763,1056.0975,41.478,125.3879,3.3675,51.2406,21.8442,3.7637,12.1348,84.4092,268.7502,411.1064,60.1216,104.5438,0.0
SAU_C13T15,1.6105,2.2347,0.1877,0.0003,0.0069,3.3139,250.8909,0.4965,13.0593,0.0069,6.1274,0.1624,12.2873,2.6843,4.4573,1.2061,0.2321,3.723,2.7404,3.9876,0.5169,12.9834,0.0336,1.4441,139.2057,35.8071,0.0456,0.0284,2.3288,1.2097,0.5359,42.8148,2.7018,34.1962,0.884,0.541,0.7458,5.0506,5.0049,12.7983,4.3363,17.2487,1.4299,2.0469,0.0
SAU_C16,0.4889,1.0683,0.0225,0.0029,0.0013,17.5203,26.4151,126.7898,69.2607,0.0064,3.3368,0.0537,4.2562,13.1824,5.2141,17.9597,0.2651,14.961,2.4699,0.7632,1.1954,123.1273,0.0841,1.2156,1072.0798,4.3012,0.4247,0.0094,0.8271,46.7264,0.396,57.9821,3.1903,1.4758,0.0212,0.1706,1.7414,0.7474,0.2106,0.3349,3.4468,6.1589,10.7684,4.9084,0.0
SAU_C17_18,0.6212,0.598,0.5408,0.0014,0.0201,5.7171,2.4814,0.6422,58.7363,0.0858,4.5668,0.2029,1.8084,1.9437,0.5643,0.8536,0.1046,2.1922,0.5242,0.1929,0.1173,1.1105,1.3988,3.2993,14.7247,1085.9318,1.832,0.0157,5.3821,19.8717,17.6003,6.1928,819.2442,173.8114,12.8134,7.2932,2.3679,57.6298,44.5743,37.1689,102.755,79.7225,6.5997,6.9424,0.0
SAU_C19,545.4328,213.8041,383.4579,27.6102,16.9354,219.4391,295.7179,140.579,337.4803,4768.9202,6400.254,51.6407,419.2602,1032.4877,710.9195,273.9786,4.435,197.638,166.1693,18.3349,25.0509,62.0726,2386.8921,340.5244,3608.9241,2189.3213,1042.3323,8.0263,2817.3212,203.0764,23.1126,202.1091,46.3257,737.6567,2.8248,86.3573,16.3053,178.2761,586.8957,154.912,193.3482,394.6958,44.3814,152.7284,0.0
SAU_C20,164.8853,40.2209,217.1959,36.4092,9.044,165.2949,448.3271,62.3765,739.5352,6.2253,2985.2184,32.7585,1181.988,391.5365,587.6062,354.5983,7.0306,436.3277,76.9722,34.5921,27.9444,106.5101,96.3312,120.047,1668.9597,921.7109,10.7287,0.0939,27.4369,12.4915,0.4014,127.4106,115.524,58.9364,9.0978,3.6927,3.7221,26.4588,195.4071,95.4658,124.7664,721.6348,28.4433,169.2326,0.0
SAU_C21,6.5081,4.6055,4.8748,0.0754,0.2073,4.9251,5.1112,1.0088,9.4149,0.0984,160.6935,78.1756,12.7154,5.5052,2.4842,5.83,0.1189,3.9321,1.3817,0.6935,0.0442,2.0344,3.386,2.1157,25.0966,40.7621,0.4304,0.0053,1.8172,0.4928,0.031,5.0875,1.9083,3.5542,0.3777,0.2298,0.0646,1.8619,5.7518,16.0317,12.118,487.9088,1.2786,7.2953,0.0
SAU_C22,123.8409,200.1472,4.4909,0.4309,0.2366,88.84,285.5585,4.3606,33.173,0.1709,83.9769,2.3534,438.3184,21.6911,12.4386,43.982,4.4567,210.2812,38.5576,49.4523,24.8762,55.1481,0.2411,55.0362,1480.8682,1585.1471,33.0416,0.0023,6.9205,84.3787,5.5545,14.8167,8.004,15.3324,0.0792,2.1089,0.0034,35.9872,26.8875,26.7381,6.9764,70.016,8.0072,72.7923,0.0
SAU_C23,0.2681,0.0365,7.2858,0.1654,0.3323,89.2968,1.0084,1.4899,0.7601,0.3394,26.2816,1.1749,5.7411,446.0022,22.8769,36.5247,3.6386,33.5309,16.5267,9.4256,2.4329,6.1058,9.6688,0.3981,6050.3283,65.7018,0.3346,0.0055,2.505,7.8621,14.6589,6.6097,0.3323,93.3636,0.0,0.0066,0.9183,29.7788,22.3178,0.2331,10.7932,246.0386,0.3335,27.9366,0.0
SAU_C24,1.8638,0.0,85.8674,14.9277,3.8679,0.3237,2.2815,0.3559,10.9724,0.0804,2.4035,0.0257,13.5989,18.2591,139.6294,516.4972,2.1119,293.1389,82.511,35.2729,12.26,31.8625,9.1287,22.3117,2858.3925,313.6886,0.3877,0.004,4.5349,5.9933,0.8596,3.1792,238.9184,12.0232,0.0,0.0,0.0017,133.7972,75.4112,0.0001,18.5858,25.9172,2.798,28.2473,0.0
SAU_C25,0.0007,0.0003,6.7481,0.8427,0.2844,47.8964,35.6894,6.0375,17.1909,1.3481,8.0571,0.1373,19.9108,43.8595,142.2596,221.4729,2.6079,146.9618,156.4029,21.3819,16.6003,54.0575,0.0233,0.0454,402.564,93.6355,3.2427,0.0166,17.5626,110.2753,0.0159,1.8283,0.108,0.0018,0.0122,0.1462,2.4915,12.7622,8.4289,58.6794,11.373,12.4079,0.426,47.9721,0.0
SAU_C26,0.0718,1.3905,2.8043,0.0101,0.1288,0.2968,0.3584,0.0308,2.2675,0.0293,2.9701,0.1011,0.1239,1.6806,0.296,10.2128,8.8967,4.6029,3.7992,0.7614,1.5989,1.398,0.1992,0.9504,4.9242,1.6572,0.1348,0.0077,2.0315,2.355,0.7712,0.0657,0.0001,0.0517,0.0008,0.9943,0.0256,7.6261,2.9189,35.4435,1.49,55.732,1.9305,7.4793,0.0
SAU_C27,1.2721,1.0846,6.2721,0.1044,0.2239,1.482,0.9476,0.4174,1.4134,0.7856,5.056,0.1252,4.8744,7.938,4.8173,10.1661,14.9281,622.7023,106.084,20.7372,9.2041,10.9105,0.0315,25.9161,117.0572,288.8285,0.0164,0.0003,0.1005,0.3556,0.1025,0.2182,0.0176,13.2022,0.0322,3.0539,0.0024,16.267,10.6634,48.0346,6.8068,3.8944,0.3585,36.9602,0.0
SAU_C28,15.3509,0.3625,28.1814,5.4031,1.0686,11.4166,19.132,3.8933,21.527,2.2149,29.4835,0.6729,13.8284,51.6804,36.7929,49.126,0.5191,34.8311,68.4736,4.2997,5.3211,6.9881,16.7703,7.9912,246.1012,219.3048,8.7262,0.0274,14.0844,26.8427,16.6183,16.964,8.045,76.6966,0.0484,0.3851,0.0008,9.1484,39.2777,119.24,8.3702,38.4664,3.8143,7.2904,0.0
SAU_C29,0.0256,0.0044,0.2515,0.0003,0.0113,0.0078,0.0003,0.0008,0.0002,0.0004,0.0076,0.0002,0.0019,0.022,0.0,0.0208,0.0008,0.0017,0.0072,3.3549,0.0908,0.0309,0.0378,0.0358,0.0,50.4862,0.3078,0.0,0.0015,0.1209,0.0,0.013,0.0,0.0,0.0016,0.0023,0.0117,0.0561,0.1409,2.2623,0.0,0.8379,0.0455,0.6052,0.0
SAU_C30,0.0007,0.0433,0.5291,0.0042,0.0109,0.0,0.0,0.0037,0.0,0.0013,0.0003,0.0,0.0,0.0071,0.0,0.0,0.0,0.0023,0.0149,0.0,2.1441,0.0006,0.0,0.0139,0.4263,65.1371,0.1716,0.0038,0.7073,0.1024,0.0048,0.0126,0.0,0.0036,0.0,0.0023,0.0088,0.0539,0.0915,9.9986,1.6686,0.851,0.0432,0.6392,0.0
SAU_C31T33,57.8418,28.8664,289.9239,9.6322,10.5514,0.2799,0.9102,0.0262,0.4888,0.0224,0.9854,0.0655,0.1125,0.2915,0.7254,0.2941,0.1279,0.3484,2.9022,0.4011,0.2715,1684.9935,39.0998,17.2915,591.4449,1059.2676,45.3346,2.3886,138.8153,60.9684,8.6693,22.3694,373.2472,0.0575,0.0002,63.5896,1.0132,54.2551,88.8075,183.7871,172.6691,200.5693,24.2762,93.8315,0.0
SAU_D,5.4575,11.4698,599.8061,18.9169,17.0756,103.9778,107.267,17.9771,261.5562,13.3544,170.1145,3.5736,110.4894,238.758,210.9427,234.5422,3.245,158.7252,62.6713,25.8888,10.1888,24.9917,1285.6776,311.3275,398.9322,696.2104,13.7458,0.229,35.9404,28.5978,7.7683,39.1192,1.6632,22.8023,0.1642,63.3839,1.1074,26.6713,97.7241,1546.3931,137.6598,381.4292,156.6865,30.8184,0.0
